,time,username,likes
1,2015-01-01 05:00:00+00,ANSYSInc,43442
3,2015-01-01 05:00:00+00,Qualcomm,1232521
13,2015-01-01 05:00:00+00,OfficialCSX,138792
69,2015-01-01 05:00:00+00,Kraft,36953
138,2015-01-01 05:00:00+00,PepsiCo,125304
160,2015-01-01 05:00:00+00,dexcom,14949
212,2015-01-01 05:00:00+00,splunk,6430
230,2015-01-01 05:00:00+00,Cintas,10675
250,2015-01-01 05:00:00+00,AnalogDevicesInc,6973
256,2015-01-01 05:00:00+00,dollartree,1370118
305,2015-01-01 05:00:00+00,CDWCorporation,59585
326,2015-01-01 05:00:00+00,Cerner,12413
337,2015-01-01 05:00:00+00,Costco,1240140
348,2015-01-01 05:00:00+00,illuminainc,3466
355,2015-01-01 05:00:00+00,Copart,92825
384,2015-01-01 05:00:00+00,EA,3477413
401,2015-01-01 05:00:00+00,LamResearchCorporation,1604
409,2015-01-01 05:00:00+00,Broadcom,9227
414,2015-01-01 05:00:00+00,marriottinternational,231361
441,2015-01-01 05:00:00+00,lululemon,1099253
452,2015-01-01 05:00:00+00,NVIDIA,1733114
466,2015-01-03 05:00:00+00,Cintas,10679
483,2015-01-03 05:00:00+00,Qualcomm,1232514
495,2015-01-03 05:00:00+00,Cerner,12426
497,2015-01-03 05:00:00+00,Broadcom,9231
502,2015-01-03 05:00:00+00,OfficialCSX,138839
508,2015-01-03 05:00:00+00,splunk,6436
523,2015-01-03 05:00:00+00,Copart,93360
536,2015-01-03 05:00:00+00,AnalogDevicesInc,6980
545,2015-01-03 05:00:00+00,illuminainc,3467
609,2015-01-03 05:00:00+00,dollartree,1370435
641,2015-01-03 05:00:00+00,Kraft,37007
652,2015-01-03 05:00:00+00,CDWCorporation,59584
678,2015-01-03 05:00:00+00,lululemon,1103724
746,2015-01-03 05:00:00+00,EA,3480478
747,2015-01-03 05:00:00+00,LamResearchCorporation,1605
756,2015-01-03 05:00:00+00,PepsiCo,125405
796,2015-01-03 05:00:00+00,dexcom,14965
813,2015-01-03 05:00:00+00,marriottinternational,231475
816,2015-01-03 05:00:00+00,ANSYSInc,43512
854,2015-01-03 05:00:00+00,eBayGlobal,3316605
857,2015-01-03 05:00:00+00,NVIDIA,1734130
874,2015-01-03 05:00:00+00,Costco,1241275
960,2015-01-04 05:00:00+00,ANSYSInc,43539
973,2015-01-04 05:00:00+00,LamResearchCorporation,1609
976,2015-01-04 05:00:00+00,Costco,1241957
989,2015-01-04 05:00:00+00,Cerner,12429
1013,2015-01-04 05:00:00+00,dexcom,14972
1041,2015-01-04 05:00:00+00,Kraft,37034
1060,2015-01-04 05:00:00+00,AnalogDevicesInc,6981
1069,2015-01-04 05:00:00+00,dollartree,1370627
1112,2015-01-04 05:00:00+00,Copart,93711
1116,2015-01-04 05:00:00+00,splunk,6439
1126,2015-01-04 05:00:00+00,EA,3482503
1156,2015-01-04 05:00:00+00,lululemon,1106660
1163,2015-01-04 05:00:00+00,NVIDIA,1734683
1168,2015-01-04 05:00:00+00,Qualcomm,1232514
1172,2015-01-04 05:00:00+00,OfficialCSX,138861
1243,2015-01-04 05:00:00+00,PepsiCo,125469
