,as_of_date,company_name,followers_count
12,2015-09-16,Cisco,1049264
17,2015-09-16,Intel Corporation,635955
25,2015-09-16,Amazon,1311936
28,2015-09-16,Apple,2587280
33,2015-09-16,Google,3615989
38,2015-09-16,Texas Instruments,159939
40,2015-09-16,Biogen,82788
49,2015-09-16,Starbucks,598627
53,2015-09-16,Gilead Sciences,90638
60,2015-09-16,Costco Wholesale,112642
71,2015-09-16,Comcast,136991
82,2015-09-16,Qualcomm,219167
88,2015-09-16,Activision,68358
97,2015-09-16,Microsoft,2539829
111,2015-09-16,Amgen,187799
112,2015-09-16,PepsiCo,1016316
115,2015-09-16,Facebook,1036121
133,2015-09-17,Cognizant,707638
138,2015-09-17,Intel Corporation,636381
141,2015-09-17,Cisco,1049955
150,2015-09-17,T-Mobile,166463
154,2015-09-17,eBay,198080
155,2015-09-17,Amazon,1313161
156,2015-09-17,Adobe,473652
166,2015-09-17,Apple,2589443
174,2015-09-17,Google,3618814
180,2015-09-17,Texas Instruments,160081
193,2015-09-17,Biogen,82871
194,2015-09-17,CSX,38404
208,2015-09-17,Starbucks,599212
211,2015-09-17,Gilead Sciences,90803
225,2015-09-17,Netflix,228347
228,2015-09-17,Costco Wholesale,112782
237,2015-09-17,Vertex Pharmaceuticals,45867
256,2015-09-17,Comcast,137128
258,2015-09-17,O'Reilly Auto Parts,15315
271,2015-09-17,Qualcomm,219301
273,2015-09-17,Activision,68422
287,2015-09-17,ADP,262960
302,2015-09-17,Illumina,46461
308,2015-09-17,PepsiCo,1017273
310,2015-09-17,Intuit,98433
311,2015-09-17,Amgen,187931
314,2015-09-17,Microsoft,2541663
316,2015-09-17,Facebook,1037054
352,2015-09-18,Cognizant,708571
363,2015-09-18,CDW,55390
365,2015-09-18,Intel Corporation,636954
372,2015-09-18,Cisco,1050783
374,2015-09-18,Fiserv,91101
383,2015-09-18,Sirius XM Radio Inc.,20598
388,2015-09-18,T-Mobile,166626
394,2015-09-18,eBay,198290
397,2015-09-18,Amazon,1314548
398,2015-09-18,Adobe,474210
410,2015-09-18,Xilinx,49884
421,2015-09-18,Apple,2591964
429,2015-09-18,Cintas,46413
432,2015-09-18,Verisk Analytics,7170
437,2015-09-18,Google,3622173
447,2015-09-18,Texas Instruments,160227
457,2015-09-18,Exelon,44656
466,2015-09-18,TripAdvisor,102507
467,2015-09-18,Workday,76792
472,2015-09-18,Biogen,82952
474,2015-09-18,CSX,38448
481,2015-09-18,Electronic Arts (EA),211518
501,2015-09-18,Starbucks,599888
510,2015-09-18,Gilead Sciences,91008
512,2015-09-18,Dollar Tree Stores,21156
515,2015-09-18,Cerner Corporation,81767
534,2015-09-18,Fastenal,25060
537,2015-09-18,Netflix,228916
543,2015-09-18,Costco Wholesale,112926
556,2015-09-18,Splunk,44775
559,2015-09-18,Vertex Pharmaceuticals,45926
578,2015-09-18,Comcast,137276
581,2015-09-18,O'Reilly Auto Parts,15332
588,2015-09-18,PACCAR,27036
604,2015-09-18,NetEase,13186
608,2015-09-18,Qualcomm,219450
611,2015-09-18,Activision,68501
612,2015-09-18,Paychex,39397
639,2015-09-18,ADP,263147
667,2015-09-18,Illumina,46523
679,2015-09-18,NVIDIA,141170
680,2015-09-18,PepsiCo,1018376
682,2015-09-18,Microsoft,2544131
687,2015-09-18,Intuit,98535
692,2015-09-18,Amgen,188087
694,2015-09-18,Facebook,1038200
732,2015-09-19,Cognizant,709332
743,2015-09-19,CDW,55411
745,2015-09-19,Intel Corporation,637352
753,2015-09-19,Cisco,1051347
754,2015-09-19,Fiserv,91172
763,2015-09-19,Sirius XM Radio Inc.,20605
767,2015-09-19,T-Mobile,166749
774,2015-09-19,eBay,198473
777,2015-09-19,Amazon,1315604
778,2015-09-19,Adobe,474602
790,2015-09-19,Xilinx,49926
800,2015-09-19,Apple,2593650
808,2015-09-19,Cintas,46436
811,2015-09-19,Verisk Analytics,7184
816,2015-09-19,Google,3624480
827,2015-09-19,Texas Instruments,160363
837,2015-09-19,Exelon,44683
846,2015-09-19,TripAdvisor,102596
847,2015-09-19,Workday,76879
852,2015-09-19,Biogen,83023
855,2015-09-19,CSX,38477
860,2015-09-19,Electronic Arts (EA),211633
880,2015-09-19,Starbucks,600393
890,2015-09-19,Gilead Sciences,91135
892,2015-09-19,Dollar Tree Stores,21175
895,2015-09-19,Cerner Corporation,81806
913,2015-09-19,Fastenal,25075
919,2015-09-19,Netflix,229346
924,2015-09-19,Costco Wholesale,113065
938,2015-09-19,Splunk,44830
941,2015-09-19,Vertex Pharmaceuticals,45953
961,2015-09-19,Cadence Design Systems,40193
978,2015-09-19,Comcast,137386
982,2015-09-19,O'Reilly Auto Parts,15346
998,2015-09-19,PACCAR,27057
1026,2015-09-19,NetEase,13211
1030,2015-09-19,Qualcomm,219564
1033,2015-09-19,Activision,68550
1034,2015-09-19,Paychex,39415
1060,2015-09-19,ADP,263281
1089,2015-09-19,Illumina,46572
1101,2015-09-19,NVIDIA,141291
1102,2015-09-19,PepsiCo,1019107
1108,2015-09-19,Intuit,98606
1110,2015-09-19,Microsoft,2545754
1112,2015-09-19,Amgen,188207
1116,2015-09-19,Facebook,1038944
1153,2015-09-20,Cognizant,710074
1164,2015-09-20,CDW,55420
1167,2015-09-20,Intel Corporation,637715
1174,2015-09-20,Cisco,1051880
1175,2015-09-20,Fiserv,91249
1185,2015-09-20,Sirius XM Radio Inc.,20618
1189,2015-09-20,T-Mobile,166854
1196,2015-09-20,eBay,198661
1199,2015-09-20,Amazon,1316567
1201,2015-09-20,Adobe,474952
1212,2015-09-20,Xilinx,49968
1222,2015-09-20,Apple,2595386
1230,2015-09-20,Cintas,46455
1234,2015-09-20,Verisk Analytics,7202
1239,2015-09-20,Google,3626696
1249,2015-09-20,Texas Instruments,160500
1259,2015-09-20,Exelon,44708
1267,2015-09-20,TripAdvisor,102673
1269,2015-09-20,Workday,76952
1274,2015-09-20,Biogen,83084
1277,2015-09-20,CSX,38502
1282,2015-09-20,Electronic Arts (EA),211750
1301,2015-09-20,Starbucks,600842
1312,2015-09-20,Gilead Sciences,91265
1314,2015-09-20,Dollar Tree Stores,21186
1317,2015-09-20,Cerner Corporation,81837
1335,2015-09-20,Fastenal,25085
1341,2015-09-20,Netflix,229752
1346,2015-09-20,Costco Wholesale,113147
1360,2015-09-20,Splunk,44862
1364,2015-09-20,Vertex Pharmaceuticals,45975
1383,2015-09-20,Cadence Design Systems,40224
1398,2015-09-20,Comcast,137454
1405,2015-09-20,O'Reilly Auto Parts,15354
1420,2015-09-20,PACCAR,27072
1452,2015-09-20,NetEase,13239
1464,2015-09-20,Qualcomm,219691
1465,2015-09-20,Activision,68601
1467,2015-09-20,Paychex,39430
1485,2015-09-20,Dexcom,6776
1519,2015-09-20,ADP,263386
1559,2015-09-20,Illumina,46612
1572,2015-09-20,NVIDIA,141410
1573,2015-09-20,PepsiCo,1019793
1579,2015-09-20,Intuit,98683
1581,2015-09-20,Amgen,188313
1582,2015-09-20,Microsoft,2547319
1586,2015-09-20,Facebook,1039720
1624,2015-09-21,Cognizant,710971
1635,2015-09-21,CDW,55448
1638,2015-09-21,Intel Corporation,638137
1645,2015-09-21,Cisco,1052531
1646,2015-09-21,Fiserv,91377
1656,2015-09-21,Sirius XM Radio Inc.,20631
1660,2015-09-21,T-Mobile,166982
1667,2015-09-21,eBay,198834
1671,2015-09-21,Adobe,475440
1672,2015-09-21,Amazon,1317765
1683,2015-09-21,Xilinx,50020
1693,2015-09-21,Apple,2597359
1701,2015-09-21,Cintas,46484
1704,2015-09-21,Verisk Analytics,7217
1710,2015-09-21,Google,3629263
1721,2015-09-21,Texas Instruments,160642
1730,2015-09-21,Exelon,44734
1738,2015-09-21,TripAdvisor,102803
1740,2015-09-21,Workday,77037
1744,2015-09-21,Biogen,83166
1748,2015-09-21,CSX,38527
1753,2015-09-21,Electronic Arts (EA),211897
1772,2015-09-21,Starbucks,601394
1783,2015-09-21,Gilead Sciences,91419
1785,2015-09-21,Dollar Tree Stores,21206
1788,2015-09-21,Cerner Corporation,81892
1806,2015-09-21,Fastenal,25111
1812,2015-09-21,Netflix,230287
1816,2015-09-21,Costco Wholesale,113262
1831,2015-09-21,Splunk,44911
1835,2015-09-21,Vertex Pharmaceuticals,46005
1854,2015-09-21,Cadence Design Systems,40277
1871,2015-09-21,Comcast,137544
1876,2015-09-21,O'Reilly Auto Parts,15369
1891,2015-09-21,PACCAR,27092
1923,2015-09-21,NetEase,13260
1935,2015-09-21,Activision,68665
1936,2015-09-21,Qualcomm,219804
1938,2015-09-21,Paychex,39441
1956,2015-09-21,Dexcom,6792
1990,2015-09-21,ADP,263536
2048,2015-09-21,Illumina,46656
2071,2015-09-21,NVIDIA,141543
2072,2015-09-21,PepsiCo,1020761
2078,2015-09-21,Amgen,188442
2079,2015-09-21,Intuit,98752
2085,2015-09-21,Facebook,1040544
2087,2015-09-21,Microsoft,2549104
2124,2015-09-22,Cognizant,711695
2135,2015-09-22,CDW,55465
2138,2015-09-22,Intel Corporation,638541
2145,2015-09-22,Cisco,1053117
2146,2015-09-22,Fiserv,91479
2156,2015-09-22,Sirius XM Radio Inc.,20640
2160,2015-09-22,T-Mobile,167079
2167,2015-09-22,eBay,198959
2171,2015-09-22,Adobe,475874
2172,2015-09-22,Amazon,1318775
2183,2015-09-22,Xilinx,50067
2193,2015-09-22,Apple,2599095
2201,2015-09-22,Cintas,46514
2204,2015-09-22,Verisk Analytics,7234
2210,2015-09-22,Google,3631450
2221,2015-09-22,Texas Instruments,160744
2230,2015-09-22,Exelon,44756
2238,2015-09-22,TripAdvisor,102883
2240,2015-09-22,Workday,77131
2245,2015-09-22,Biogen,83224
2248,2015-09-22,CSX,38552
2253,2015-09-22,Electronic Arts (EA),212028
2272,2015-09-22,Starbucks,602054
2284,2015-09-22,Gilead Sciences,91543
2285,2015-09-22,Dollar Tree Stores,21232
2288,2015-09-22,Cerner Corporation,81938
