timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,162.8500,164.4000,155.0000,163.8000,163.8000,13638272,0.0000
2021-02-12,150.1600,161.4000,148.7600,160.7800,160.7800,11110124,0.0000
2021-02-05,148.3400,154.2500,147.0000,148.7600,148.7600,12371222,0.0000
2021-01-29,157.0000,157.2900,146.6500,147.3300,147.3300,19535502,0.0000
2021-01-22,158.4550,162.9800,155.4200,155.5800,155.5800,10904941,0.0000
2021-01-15,156.1300,161.7800,155.0104,157.7500,157.7500,12171314,0.0000
2021-01-08,148.4500,159.8100,144.6200,156.7400,156.7400,13374716,0.0000
2020-12-31,146.4100,147.8300,142.7400,147.7300,147.7300,5331949,0.0000
2020-12-24,141.7300,145.6200,141.3100,144.4700,144.4700,6658367,0.0000
2020-12-18,142.0600,145.2600,141.5700,144.5600,144.5600,12937162,0.0000
2020-12-11,144.6800,146.3100,139.4900,141.1500,141.1500,13511784,0.0000
2020-12-04,137.6500,144.1400,137.1000,143.9700,143.9700,13446862,0.6200
2020-11-27,135.2800,138.5500,132.8400,137.7500,137.1416,10872089,0.0000
2020-11-20,137.7800,140.1700,131.5000,134.8800,134.2842,13540471,0.0000
2020-11-13,138.5600,140.3800,133.9000,136.2700,135.6681,16642897,0.0000
2020-11-06,120.1400,133.7800,117.6200,133.5000,132.9103,16328636,0.0000
2020-10-30,123.3800,123.6500,115.6390,118.5300,118.0065,13827971,0.0000
2020-10-23,124.6200,125.8100,122.3250,124.2000,123.6514,13657161,0.0000
2020-10-16,124.7200,126.4900,120.9000,123.6400,123.0939,11253290,0.0000
2020-10-09,115.3600,124.4100,114.9650,123.3300,122.7853,20420822,0.0000
2020-10-02,115.3200,119.6400,114.0000,114.0100,113.5064,13826171,0.0000
2020-09-25,112.9700,115.6300,110.6600,113.4800,112.9788,13201524,0.0000
2020-09-18,115.7800,117.7300,112.5990,114.9100,114.4025,15452735,0.0000
2020-09-11,114.3900,116.8500,112.5000,113.8000,113.2974,13843377,0.0000
2020-09-04,118.7500,122.5200,114.2500,117.4400,116.9213,20540257,0.0000
2020-08-28,117.2100,121.2500,116.2200,119.5800,119.0518,13940859,0.6200
2020-08-21,118.4300,119.4700,115.7400,116.0200,114.9091,18932822,0.0000
2020-08-14,116.2400,119.5700,115.4600,117.1800,116.0580,16304309,0.0000
2020-08-07,115.8700,118.0400,114.9300,116.3200,115.2062,13903686,0.0000
2020-07-31,113.1200,117.7550,112.9100,114.8500,113.7503,18773000,0.0000
2020-07-24,117.0400,117.8500,110.4700,112.2100,111.1355,20671988,0.0000
2020-07-17,121.7300,122.9300,113.8100,116.7500,115.6321,31661305,0.0000
2020-07-10,122.9600,125.0800,120.9900,124.5000,123.3079,8622536,0.0000
2020-07-02,118.9100,123.2000,117.1100,121.2400,120.0791,7018560,0.0000
2020-06-26,120.0200,124.5100,117.1400,117.8700,116.7414,10904693,0.0000
2020-06-19,116.1500,124.3900,115.0700,120.1800,119.0292,11625180,0.0000
2020-06-12,125.0000,125.3500,115.4300,118.4100,117.2762,12523297,0.0000
2020-06-05,112.3700,127.3900,111.3300,124.5900,123.3970,13287709,0.0000
