timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,490.8750,495.1400,475.0600,489.9600,489.9600,6357030,0.0000
2021-02-12,468.7500,487.0200,465.4900,486.3200,486.3200,7553425,0.0000
2021-02-05,455.8500,478.5200,453.5900,466.0100,466.0100,7872784,0.0000
2021-01-29,469.5600,470.0000,441.5100,450.5000,450.5000,8631012,0.0000
2021-01-22,448.2800,469.4700,448.2800,465.0200,465.0200,6553229,0.0000
2021-01-15,440.6100,458.5000,440.4200,445.8500,445.8500,7648173,0.0000
2021-01-08,439.3300,449.9900,420.5400,445.6400,445.6400,9301062,0.0000
2020-12-31,434.3400,438.5000,426.7900,437.8500,437.8500,4086961,0.0000
2020-12-24,428.1500,436.0000,423.7000,431.4600,431.4600,5169041,0.0000
2020-12-18,406.5291,435.6500,406.0000,434.5600,434.5600,13289206,3.6000
2020-12-11,416.4100,426.7000,398.2800,405.8200,402.4857,11164545,0.0000
2020-12-04,394.0200,412.4000,392.7400,411.6800,408.2976,7974682,0.0000
2020-11-27,385.3700,399.1700,383.0000,394.9500,391.7050,4424916,0.0000
2020-11-20,374.8100,388.8500,374.0000,383.3300,380.1805,6827588,0.0000
2020-11-13,389.1000,393.8900,360.3600,373.5000,370.4313,8917826,0.0000
2020-11-06,355.0400,383.6700,346.6600,380.6200,377.4928,8382006,0.0000
2020-10-30,369.6000,369.9550,344.4200,349.6300,346.7574,8168797,0.0000
2020-10-23,381.2400,383.6050,367.1100,372.7200,369.6577,6241291,0.0000
2020-10-16,381.7900,387.8000,375.0200,378.6500,375.5389,7754302,0.0000
2020-10-09,360.8400,380.0000,359.9000,376.7000,373.6050,8264611,0.0000
2020-10-02,361.6800,371.0000,356.1500,356.8300,353.8982,9154374,0.0000
2020-09-25,350.0100,361.8000,343.4800,356.8000,353.8685,9104114,3.2500
2020-09-18,364.4100,372.0000,355.0000,359.7300,353.5085,10973752,0.0000
2020-09-11,352.6600,367.8300,350.0000,359.7000,353.4790,9317162,0.0000
2020-09-04,343.5200,378.9600,343.5200,362.9500,356.6728,18884978,0.0000
2020-08-28,332.0102,344.8200,331.1400,344.8200,338.8564,6512572,0.0000
2020-08-21,329.5100,333.1800,325.0000,330.0200,324.3123,5111155,0.0000
2020-08-14,324.2200,335.8800,322.7600,327.8200,322.1504,7502024,0.0000
2020-08-07,318.0000,331.5800,317.2800,325.9300,320.2931,9674920,0.0000
2020-07-31,308.3000,318.4000,306.0000,316.7500,311.2719,9716473,0.0000
2020-07-24,311.8500,319.2300,304.1800,305.7900,300.5014,7753302,0.0000
2020-07-17,321.6800,323.5300,305.1900,312.7100,307.3017,8145187,0.0000
2020-07-10,320.0000,324.3300,312.5500,319.4400,313.9153,9024591,0.0000
2020-07-02,308.0700,319.3800,304.4506,315.4700,310.0140,7197488,0.0000
2020-06-26,305.5000,317.4400,303.0000,307.4100,302.0934,11516644,0.0000
2020-06-19,295.0000,319.1200,292.4100,302.7700,297.5336,17264081,3.2500
2020-06-12,317.5000,319.2100,292.7300,300.2500,291.9236,15671846,0.0000
2020-06-05,290.4200,328.1100,287.3700,317.0800,308.2869,16817997,0.0000
2020-05-29,285.0000,292.0000,280.0000,291.2700,283.1927,9226347,0.0000
2020-05-22,268.6200,281.3100,268.0000,276.6500,268.9781,9614621,0.0000
2020-05-15,273.3700,277.7200,254.7500,260.4100,253.1885,10310834,0.0000
2020-05-08,259.2100,275.5500,255.3200,275.0300,267.4030,10125366,0.0000
