timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,317.1400,346.0000,288.1450,339.9100,339.9100,48212316,0.0000
2021-02-12,275.0000,322.8900,272.8800,313.0000,313.0000,45375611,0.0000
2021-02-05,239.3500,271.5341,235.8800,270.1300,270.1300,29675113,0.0000
2021-01-29,261.1200,261.9000,230.0800,235.0200,235.0200,38010404,0.0000
2021-01-22,250.0000,264.9400,247.8800,252.7500,252.7500,39142040,0.0000
2021-01-15,244.5100,258.7299,218.4100,238.8700,238.8700,70766394,0.0000
2021-01-08,219.5100,241.0000,203.6200,240.2500,240.2500,62134537,0.0000
2020-12-31,189.6300,225.3500,189.3400,216.2400,216.2400,52626444,0.0000
2020-12-24,188.9500,202.7900,185.1600,191.0200,191.0200,27377530,0.0000
2020-12-18,164.8000,201.1073,162.8200,192.6900,192.6900,82250933,0.0000
2020-12-11,143.7300,163.4000,142.5400,161.2400,161.2400,24589013,0.0000
2020-12-04,137.2700,146.2000,135.0100,144.0700,144.0700,17881057,0.0000
2020-11-27,136.2100,139.9900,132.2554,139.4200,139.4200,16758002,0.0000
2020-11-20,146.7100,151.1800,135.2550,136.1100,136.1100,27546159,0.0000
2020-11-13,148.3800,148.3800,140.6800,145.0800,145.0800,14826210,0.0000
2020-11-06,134.3100,145.3600,131.0000,144.0000,144.0000,16987723,0.0000
2020-10-30,132.8500,135.3100,128.0200,133.0500,133.0500,23866594,0.0000
2020-10-23,131.5000,136.1700,128.4900,133.9300,133.9300,12178921,0.0000
2020-10-16,129.0300,138.9800,126.3800,130.3700,130.3700,25779630,0.0000
2020-10-09,124.8300,128.7000,124.1000,126.4900,126.4900,7953447,0.0000
2020-10-02,124.4900,129.0000,122.4700,124.6200,124.6200,15649982,0.0000
2020-09-25,121.3600,126.3900,120.2400,123.7900,123.7900,12866401,0.0000
2020-09-18,121.3500,127.2500,120.8700,124.6600,124.6600,11773576,0.0000
2020-09-11,117.5900,122.1400,116.4100,120.6200,120.6200,11277361,0.0000
2020-09-04,125.8100,129.0300,119.6300,122.8700,122.8700,15548167,0.0000
2020-08-28,123.8700,129.0300,121.9350,129.0000,129.0000,16835940,0.0000
2020-08-21,117.9900,126.5900,117.6700,122.4500,122.4500,17937388,0.0000
2020-08-14,124.5500,128.2500,115.5900,116.7400,116.7400,24988003,0.0000
2020-08-07,120.2900,127.3800,119.0500,125.0000,125.0000,12439073,0.0000
2020-07-31,117.7400,120.4500,114.7500,119.4000,119.4000,15910946,0.0000
2020-07-24,122.7700,126.2700,116.3900,119.0200,119.0200,14938871,0.0000
2020-07-17,133.7000,133.8600,120.9400,122.7700,122.7700,15041200,0.0000
2020-07-10,129.0100,135.4400,127.8200,132.3300,132.3300,17754700,0.0000
2020-07-02,121.0100,124.8200,118.5200,123.3000,123.3000,9437400,0.0000
2020-06-26,122.3700,124.9700,119.4000,121.8000,121.8000,13449058,0.0000
2020-06-19,113.3900,128.2800,113.0600,123.0800,123.0800,23090658,0.0000
2020-06-12,116.0000,118.6250,111.0000,116.2700,116.2700,18841943,0.0000
2020-06-05,106.0200,115.2000,105.3100,114.4000,114.4000,20573801,0.0000
2020-05-29,106.0000,109.2250,102.6000,106.5500,106.5500,20863409,0.0000
2020-05-22,101.8300,120.8500,101.5100,103.3200,103.3200,63421276,0.0000
2020-05-15,99.7600,100.1700,90.9400,99.8600,99.8600,17619178,0.0000
2020-05-08,95.4300,100.6700,93.5350,99.7700,99.7700,14669512,0.0000
2020-05-01,101.2000,102.9800,94.3144,96.0200,96.0200,23588051,0.0000
2020-04-24,103.6000,107.6700,98.8300,100.9500,100.9500,16749373,0.0000
2020-04-17,98.7100,105.1900,97.3700,105.0000,105.0000,17741448,0.0000
2020-04-09,100.8800,107.3900,94.9000,99.0000,99.0000,26146219,0.0000
2020-04-03,99.0710,105.2500,96.1000,97.2000,97.2000,16406585,0.0000
2020-03-27,89.0300,102.4600,86.2300,97.6300,97.6300,25803744,0.0000
