timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,275.0000,282.9950,272.0000,278.3500,278.3500,4370719,0.0000
2021-02-12,266.5600,282.7500,265.0000,278.0300,278.0300,5373421,0.0000
2021-02-05,283.2000,284.7500,260.9700,265.0900,265.0900,7877431,0.0000
2021-01-29,271.7900,296.3800,262.9900,282.6100,282.6100,8469709,0.0000
2021-01-22,276.7500,282.4300,267.6650,269.4400,269.4400,4005083,0.0000
2021-01-15,255.8600,282.6000,253.3124,275.8400,275.8400,8321434,0.0000
2021-01-08,245.7400,252.6350,238.4000,252.5400,252.5400,6116396,0.0000
2020-12-31,248.4800,249.1099,241.1000,244.8600,244.8600,3962147,0.0000
2020-12-24,246.7500,253.4100,242.5850,248.8900,248.8900,3646329,0.0000
2020-12-18,242.9800,254.0000,242.9800,249.6200,249.6200,8682096,0.0000
2020-12-11,246.3000,249.4500,240.3500,241.4300,241.4300,6092293,0.0000
2020-12-04,243.4600,249.7499,239.5600,245.8700,245.8700,6510463,0.0000
2020-11-27,245.0000,245.7150,239.7300,243.7800,243.7800,4674414,0.0000
2020-11-20,250.2900,254.4113,240.5000,244.1500,244.1500,7365496,0.0000
2020-11-13,230.8200,249.4400,223.2500,248.5900,248.5900,18093943,0.0000
2020-11-06,253.6400,363.9200,243.5700,328.9000,328.9000,22581794,0.0000
2020-10-30,263.5100,264.1800,243.2500,252.0700,252.0700,6631303,0.0000
2020-10-23,279.2700,280.0450,260.3000,265.0000,265.0000,6509486,0.0000
2020-10-16,289.2800,293.3400,279.5100,280.0100,280.0100,4486889,0.0000
2020-10-09,278.6700,289.0000,277.3550,286.5400,286.5400,3743819,0.0000
2020-10-02,282.0000,287.9500,276.0601,277.6400,277.6400,5794633,0.0000
2020-09-25,272.2300,278.3800,265.0500,273.2800,273.2800,5266032,0.0000
2020-09-18,271.2800,285.0000,269.8700,274.4800,274.4800,7800803,0.0000
2020-09-11,274.2000,275.1398,265.7900,269.9100,269.9100,4149446,0.0000
2020-09-04,281.6500,288.0300,274.0200,276.0000,276.0000,6579513,0.0000
2020-08-28,277.4800,282.3900,274.8900,281.4600,281.4600,5536701,0.0000
2020-08-21,289.8542,294.9400,274.6400,277.0700,277.0700,5515419,0.0000
2020-08-14,308.0000,308.5000,287.3350,289.4500,289.4500,5510413,0.0000
2020-08-07,274.7000,312.0000,274.4250,305.7100,305.7100,8191672,0.0000
2020-07-31,282.6800,287.2500,269.3100,274.6900,274.6900,5956435,0.0000
2020-07-24,281.1400,286.4800,270.6620,272.3300,272.3300,4818273,0.0000
2020-07-17,279.2800,284.6900,274.1400,281.8800,281.8800,5091000,0.0000
2020-07-10,268.0400,294.9900,267.1300,278.8800,278.8800,8258800,0.0000
2020-07-02,260.8400,269.3200,258.4000,265.1200,265.1200,4210800,0.0000
2020-06-26,266.5000,273.0100,257.6000,258.6600,258.6600,9093307,0.0000
2020-06-19,276.3600,285.9600,258.9500,271.0000,271.0000,20299732,0.0000
2020-06-12,304.4800,306.0600,273.5900,279.2700,279.2700,8679120,0.0000
2020-06-05,305.7200,308.2700,297.5500,306.7200,306.7200,5071341,0.0000
2020-05-29,309.0700,309.0700,291.8300,307.0900,307.0900,6386660,0.0000
2020-05-22,324.0000,324.0000,300.8000,304.5300,304.5300,4572895,0.0000
2020-05-15,313.4100,335.0000,311.0000,316.6000,316.6000,7180118,0.0000
2020-05-08,294.0600,317.7000,293.0200,314.0200,314.0200,6747964,0.0000
2020-05-01,300.5800,313.3400,291.8803,293.0900,293.0900,9404200,0.0000
2020-04-24,338.6400,350.2400,289.0200,297.8000,297.8000,14485742,0.0000
2020-04-17,318.0100,346.0500,316.7900,342.5500,342.5500,8490585,0.0000
2020-04-09,308.4900,322.4500,299.6100,321.0500,321.0500,9051903,0.0000
2020-04-03,300.0000,321.4100,290.0000,300.5100,300.5100,11503964,0.0000
2020-03-27,283.3500,307.1400,262.2500,296.7500,296.7500,12762032,0.0000
2020-03-20,281.8600,314.6500,273.5900,278.7700,278.7700,14455427,0.0000
2020-03-13,301.0000,308.7750,266.0100,305.2100,305.2100,12949841,0.0000
2020-03-06,308.6400,333.0000,306.1700,317.9500,317.9500,9136983,0.0000
2020-02-28,331.5000,336.0000,299.0010,308.3900,308.3900,9593962,0.0000
2020-02-21,343.6600,344.0000,332.5000,336.7100,336.7100,5425306,0.0000
2020-02-14,332.0000,340.0500,329.0000,333.0000,333.0000,7607127,0.0000
2020-02-07,270.6100,374.9900,269.7600,338.7000,338.7000,18924509,0.0000
2020-01-31,278.1400,288.1200,267.5900,268.8500,268.8500,7012493,0.0000
2020-01-24,286.5400,290.8450,277.3200,278.1400,278.1400,6992796,0.0000
2020-01-17,294.8100,306.3500,284.2400,285.5000,285.5000,9862719,0.0000
2020-01-10,290.2400,298.7400,287.8100,296.5100,296.5100,5496288,0.0000
2020-01-03,300.3700,301.5700,290.2200,290.8500,290.8500,3501175,0.0000
2019-12-27,302.9000,306.9400,299.4900,300.0900,300.0900,3391719,0.0000
2019-12-20,297.8100,301.9300,295.0100,301.0500,301.0500,9973067,0.0000
2019-12-13,300.2700,304.3200,290.9300,296.8300,296.8300,8528257,0.0000
2019-12-06,292.3500,309.0600,275.0400,300.2600,300.2600,13483648,0.0000
2019-11-29,301.6300,307.3500,298.6800,299.8100,299.8100,6958670,0.0000
2019-11-22,280.4300,301.8600,280.0500,299.0800,299.0800,9619398,0.0000
2019-11-15,292.4800,296.2500,271.4775,282.2700,282.2700,9072764,0.0000
2019-11-08,301.1400,302.5600,285.2500,293.2500,293.2500,7165078,0.0000
2019-11-01,283.7600,306.9200,283.3872,299.2000,299.2000,10334212,0.0000
2019-10-25,222.0000,318.0000,221.5600,288.0400,288.0400,34782090,0.0000
2019-10-18,222.5000,229.7500,220.0100,220.0600,220.0600,10949486,0.0000
2019-10-11,225.6400,229.7550,220.5100,223.2100,223.2100,9518515,0.0000
2019-10-04,230.2800,235.2500,219.7000,224.0000,224.0000,8243274,0.0000
2019-09-27,238.5800,242.7120,228.1300,230.2200,230.2200,7306277,0.0000
2019-09-20,236.1700,242.2100,233.3200,238.7900,238.7900,9468877,0.0000
2019-09-13,225.5800,238.7400,224.3900,236.6300,236.6300,8836848,0.0000
2019-09-06,218.1500,227.2700,215.7750,224.5700,224.5700,5245394,0.0000
2019-08-30,227.3200,227.9900,217.9000,219.7500,219.7500,6350663,0.0000
2019-08-23,233.3700,236.6400,225.1000,225.8500,225.8500,4694260,0.0000
2019-08-16,234.0900,235.5300,226.0000,231.6800,231.6800,5857039,0.0000
2019-08-09,240.3500,240.9900,232.3000,235.8000,235.8000,6573717,0.0000
2019-08-02,238.2100,245.3000,235.2350,242.2700,242.2700,6156516,0.0000
2019-07-26,232.5200,246.9900,231.2900,238.2100,238.2100,8613676,0.0000
2019-07-19,232.5300,235.0400,228.5800,231.2700,231.2700,5598822,0.0000
2019-07-12,234.2500,235.9800,227.1900,231.4200,231.4200,6727140,0.0000
2019-07-05,236.5900,238.9100,233.2300,234.2500,234.2500,5214307,0.0000
2019-06-28,238.7000,245.3500,233.4600,233.8700,233.8700,11208796,0.0000
2019-06-21,228.7600,239.1400,227.5500,239.0900,239.0900,10093340,0.0000
2019-06-14,227.5200,233.8300,226.4950,227.6700,227.6700,6490306,0.0000
2019-06-07,220.3100,229.2500,219.5100,227.2300,227.2300,7609763,0.0000
2019-05-31,227.7900,230.1400,219.2000,219.2900,219.2900,6147356,0.0000
2019-05-24,228.1800,236.8900,225.8200,227.0600,227.0600,8926730,0.0000
2019-05-17,222.9900,232.8328,222.1200,229.2800,229.2800,8440151,0.0000
2019-05-10,228.9500,238.1700,222.5800,226.2300,226.2300,11614820,0.0000
2019-05-03,230.9600,234.4900,226.4000,231.1800,231.1800,9446249,0.0000
2019-04-26,226.9900,233.3500,223.0900,230.5300,230.5300,12692844,0.0000
2019-04-18,235.0400,235.8800,221.5300,226.3900,226.3900,9447721,0.0000
2019-04-12,241.8300,243.0500,231.0500,234.5000,234.5000,10724175,0.0000
2019-04-05,239.0650,244.0804,228.5000,241.7200,241.7200,16659542,0.0000
2019-03-29,220.0200,237.7700,216.1200,236.3800,236.3800,22371939,0.0000
2019-03-22,328.5500,330.0000,216.4900,216.7100,216.7100,33243647,0.0000
2019-03-15,308.2800,330.1000,307.2800,329.8700,329.8700,7457106,0.0000
2019-03-08,335.6000,336.5700,305.9000,307.9300,307.9300,5755905,0.0000
2019-03-01,327.9500,335.1700,325.1300,334.1000,334.1000,3839735,0.0000
2019-02-22,330.8300,335.9350,320.3900,325.3300,325.3300,4278171,0.0000
2019-02-15,316.1200,333.2800,314.5380,332.8700,332.8700,6262137,0.0000
2019-02-08,331.3700,338.8700,305.4500,315.1200,315.1200,7627092,0.0000
2019-02-01,335.1900,335.8750,321.4225,330.9100,330.9100,7864324,0.0000
2019-01-25,335.0500,344.0000,331.9702,336.7700,336.7700,4585904,0.0000
2019-01-18,331.2800,340.5450,327.7200,337.4200,337.4200,5442379,0.0000
2019-01-11,319.2800,333.5700,317.4100,333.2100,333.2100,5711905,0.0000
2019-01-04,294.5600,323.6300,294.2001,318.3300,318.3300,6082062,0.0000
2018-12-28,281.1800,298.2500,278.4600,293.5200,293.5200,5041374,0.0000
2018-12-21,315.4600,323.9295,280.4000,280.6000,280.6000,11143945,0.0000
2018-12-14,317.9400,330.7500,310.9900,314.5500,314.5500,5874320,0.0000
2018-12-07,335.0000,338.7200,313.6425,316.7300,316.7300,5224809,0.0000
2018-11-30,321.7000,333.7700,315.4067,333.7200,333.7200,5661886,0.0000
2018-11-23,325.1200,326.3200,313.2500,320.0800,320.0800,3905580,0.0000
2018-11-16,324.9000,326.1900,310.0000,324.0500,324.0500,5923350,0.0000
2018-11-09,314.1800,331.8800,313.5800,325.2000,325.2000,5327389,0.0000
2018-11-02,304.4100,320.8850,294.7200,312.7000,312.7000,6907814,0.0000
2018-10-26,322.3000,326.5000,288.3400,300.1700,300.1700,12093635,0.0000
2018-10-19,329.9700,342.2650,318.5250,320.4100,320.4100,5899207,0.0000
2018-10-12,340.6700,346.7200,324.4600,330.9400,330.9400,5712039,0.0000
2018-10-05,355.3000,358.4100,336.2050,342.0800,342.0800,5503150,0.0000
2018-09-28,342.9900,357.5000,341.4600,353.3100,353.3100,6606921,0.0000
2018-09-21,338.5600,345.4100,332.4800,345.4100,345.4100,7992044,0.0000
2018-09-14,342.6900,342.8500,333.0300,338.6800,338.6800,4625826,0.0000
2018-09-07,353.8500,355.0000,336.2700,339.6500,339.6500,4167280,0.0000
2018-08-31,343.3000,355.9400,340.4200,353.4900,353.4900,4865215,0.0000
2018-08-24,347.5600,347.5600,339.2400,342.3300,342.3300,3414468,0.0000
2018-08-17,343.7900,347.7600,337.3100,345.2200,345.2200,4714140,0.0000
2018-08-10,343.0400,352.4600,340.3305,343.0000,343.0000,6299705,0.0000
2018-08-03,340.5200,350.5680,330.8950,344.2100,344.2100,8728573,0.0000
2018-07-27,358.7100,388.6700,337.0000,340.4000,340.4000,18147616,0.0000
2018-07-20,348.8000,360.5000,346.1000,358.7100,358.7100,7681488,0.0000
2018-07-13,357.9300,360.3500,339.1500,348.4800,348.4800,11559416,0.0000
2018-07-06,290.3000,367.8900,288.1300,357.4800,357.4800,15172658,0.0000
2018-06-29,295.9200,297.1500,285.3200,290.2400,290.2400,6545237,0.0000
2018-06-22,294.0500,298.4350,283.2433,296.0400,296.0400,8930020,0.0000
2018-06-15,302.7600,310.9100,302.7400,305.0300,305.0300,6671281,0.0000
2018-06-08,297.0400,307.9100,295.7600,303.2900,303.2900,6518190,0.0000
2018-06-01,283.6200,301.2190,282.1032,297.0900,297.0900,6870607,0.0000
2018-05-25,281.3600,289.6100,276.4200,286.2100,286.2100,6958849,0.0000
2018-05-18,282.3400,285.5200,275.0000,280.4000,280.4000,8742221,0.0000
2018-05-11,271.1500,283.5900,267.8900,282.3900,282.3900,7302864,0.0000
2018-05-04,277.5800,280.3100,264.0300,270.3400,270.3400,11546957,0.0000
2018-04-27,263.1400,279.4350,249.1700,276.8000,276.8000,12348317,0.0000
2018-04-20,267.4400,271.0500,261.2000,263.0200,263.0200,7063983,0.0000
2018-04-13,258.2900,270.1800,254.3300,265.3900,265.3900,8436632,0.0000
2018-04-06,272.0200,273.3100,256.7700,257.6500,257.6500,8368375,0.0000
2018-03-29,263.2400,276.4400,262.4800,273.8200,273.8200,7040741,0.0000
2018-03-23,285.8300,286.4899,259.7600,260.1300,260.1300,8531380,0.0000
2018-03-16,286.0000,292.3000,279.2900,287.6200,287.6200,9921835,0.0000
2018-03-09,284.1600,288.6800,281.7000,286.1000,286.1000,6012848,0.0000
2018-03-02,294.0000,296.1000,277.0000,286.9600,286.9600,8588118,0.0000
2018-02-23,292.0000,294.8800,283.9700,292.7800,292.7800,8769962,0.0000
2018-02-16,319.2500,323.1800,288.0000,291.8700,291.8700,13137501,0.0000
2018-02-09,344.5800,348.3400,302.2800,316.7800,316.7800,7118361,0.0000
2018-02-02,365.1500,367.9000,342.3100,343.8300,343.8300,6096237,0.0000
2018-01-26,343.5900,370.5700,341.2100,367.9100,367.9100,7628465,0.0000
2018-01-19,337.6300,347.7800,336.5561,342.4100,342.4100,5041056,0.0000
2018-01-12,341.4500,341.9400,327.2600,335.9500,335.9500,5463049,0.0000
2018-01-05,321.1500,344.1200,318.3300,342.4900,342.4900,4859095,0.0000
2017-12-29,319.4500,322.7500,316.2533,318.5700,318.5700,2315550,0.0000
2017-12-22,329.6700,335.8000,318.7652,319.5000,319.5000,6030102,0.0000
2017-12-15,327.0900,332.8450,321.1100,327.9400,327.9400,5569491,0.0000
2017-12-08,319.2000,327.5500,311.7500,325.7700,325.7700,4666699,0.0000
2017-12-01,310.0700,323.6900,307.0100,319.3500,319.3500,6093838,0.0000
2017-11-24,313.6000,315.7600,306.1100,308.9700,308.9700,3067182,0.0000
2017-11-17,310.4700,316.0700,307.5000,313.9700,313.9700,4797345,0.0000
2017-11-10,314.3900,319.4000,306.3900,310.4400,310.4400,4759363,0.0000
2017-11-03,307.7400,319.9500,307.2000,314.1400,314.1400,6178458,0.0000
2017-10-27,335.2500,335.5100,301.8100,307.7400,307.7400,12980360,0.0000
2017-10-20,337.7300,348.8400,333.1700,338.1000,338.1000,7100325,0.0000
2017-10-13,327.4600,338.9400,326.3300,337.6400,337.6400,5220659,0.0000
2017-10-06,315.1900,330.9800,306.0000,327.4800,327.4800,6516685,0.0000
2017-09-29,318.2800,321.5000,303.0000,313.1200,313.1200,5825762,0.0000
2017-09-22,321.5000,321.8100,311.3000,318.4600,318.4600,4342531,0.0000
2017-09-15,329.6000,330.0000,319.5900,321.2600,321.2600,6738413,0.0000
2017-09-08,318.6300,329.8400,312.5400,326.3300,326.3300,6121931,0.0000
2017-09-01,288.1200,322.1200,287.0000,321.0100,321.0100,8776172,0.0000
2017-08-25,280.9500,289.8500,280.6000,285.0600,285.0600,4173336,0.0000
