timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,154.7800,162.4200,154.3000,160.7500,160.7500,3318460,0.0000
2021-02-12,152.0800,157.9400,149.2700,155.4000,155.4000,4512711,0.0000
2021-02-05,133.4700,151.2729,132.7100,150.9700,150.9700,4554677,0.0000
2021-01-29,135.8200,137.0100,130.2200,131.6600,131.6600,4130662,0.0000
2021-01-22,133.4500,137.8000,130.0100,135.3200,135.3200,3113985,0.0000
2021-01-15,133.0100,136.2300,131.1700,133.6600,133.6600,3800027,0.0000
2021-01-08,131.7500,135.7400,125.4600,134.5900,134.5900,5546346,0.0000
2020-12-31,130.7500,133.8900,128.8400,131.7900,131.7900,2670420,0.0000
2020-12-24,131.7500,132.5850,128.2500,129.2300,129.2300,3536381,0.0000
2020-12-18,131.5700,136.6300,128.9069,134.3700,134.3700,5141286,0.0000
2020-12-11,133.2500,134.7500,128.8200,130.7000,130.7000,3865424,0.0000
2020-12-04,131.5000,134.3800,129.0600,133.5000,133.5000,4191060,0.0000
2020-11-27,132.2600,137.6700,130.2300,132.2300,132.2300,4217101,0.4000
2020-11-20,139.3100,140.8200,131.0500,131.9500,131.5654,5072959,0.0000
2020-11-13,141.0900,146.9500,135.2600,137.5900,137.1889,5117497,0.0000
2020-11-06,125.1700,139.7500,123.2150,138.0500,137.6476,4916829,0.0000
2020-10-30,128.2700,129.6100,117.0200,122.6000,122.2426,3633482,0.0000
2020-10-23,130.2100,132.2500,127.3200,130.0000,129.6210,2022515,0.0000
2020-10-16,127.8600,131.7600,126.4800,130.6200,130.2392,2826241,0.0000
2020-10-09,124.3500,127.8300,122.5200,125.9900,125.6227,3048534,0.0000
2020-10-02,114.4400,124.6200,113.1100,123.4900,123.1300,5147748,0.0000
2020-09-25,110.8900,112.8600,105.8700,112.7400,112.4114,4425731,0.0000
2020-09-18,112.3600,116.6500,111.7600,112.8200,112.4911,4277403,0.0000
2020-09-11,112.1400,114.1600,109.0500,111.3200,110.9955,3952231,0.0000
2020-09-04,115.0100,117.8600,110.1300,114.2500,113.9170,5111805,0.0000
2020-08-28,111.6900,115.8400,110.0900,115.3400,115.0038,3815682,0.3800
2020-08-21,114.0100,115.1200,110.5300,111.1500,110.4522,2885823,0.0000
2020-08-14,114.2300,119.9500,112.8125,113.5200,112.8073,3678854,0.0000
2020-08-07,116.6800,121.9300,112.8500,114.7700,114.0495,4289855,0.0000
2020-07-31,115.2800,116.7900,112.4000,116.2500,115.5202,3066691,0.0000
2020-07-24,117.7400,121.4800,113.7200,114.5600,113.8408,3243819,0.0000
2020-07-17,115.1100,119.6200,110.9800,118.5100,117.7660,3178850,0.0000
2020-07-10,119.7500,120.0000,110.1900,113.8400,113.1253,3862968,0.0000
2020-07-02,112.6500,118.7600,111.5000,117.1100,116.3748,4693373,0.0000
2020-06-26,115.9900,117.9900,108.1600,108.4900,107.8089,5583669,0.0000
2020-06-19,111.0000,121.0000,108.6400,116.9500,116.2158,5044495,0.0000
2020-06-12,126.4000,129.2300,110.5300,114.1000,113.3837,5816361,0.0000
2020-06-05,110.2600,126.0000,109.5800,125.3400,124.5531,5269794,0.0000
2020-05-29,108.5600,111.6600,107.1100,110.9100,110.2137,3739058,0.0000
2020-05-22,102.4800,109.9600,101.4900,105.7400,105.0762,5030253,0.3800
2020-05-15,106.9700,107.3100,93.7500,97.8100,96.8527,4964165,0.0000
2020-05-08,106.2200,111.3000,104.4600,108.5400,107.4777,4347609,0.0000
2020-05-01,104.7700,112.1400,104.6000,106.8200,105.7745,4707410,0.0000
2020-04-24,106.4700,107.1100,98.1200,104.7700,103.7445,5323746,0.0000
2020-04-17,105.9100,109.0300,101.1000,108.8200,107.7549,4556213,0.0000
2020-04-09,92.6400,107.8100,91.3000,106.2600,105.2200,4798764,0.0000
