timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,609.1900,626.9500,606.2500,607.2900,607.2900,3793326,0.0000
2021-02-12,616.6300,626.6300,603.5300,613.4500,613.4500,4217456,0.0000
2021-02-05,611.0100,628.3000,593.0950,617.6500,617.6500,5555410,0.0000
2021-01-29,649.6400,671.0000,604.0900,607.5600,607.5600,7869321,0.0000
2021-01-22,628.1100,651.8900,623.3700,646.6900,646.6900,3463243,0.0000
2021-01-15,636.9000,642.7500,610.8850,628.9100,628.9100,6503549,0.0000
2021-01-08,666.5900,666.5900,612.1600,634.3800,634.3800,5829811,0.0000
2020-12-31,661.3800,668.0000,649.4400,661.5500,661.5500,3627745,0.0000
2020-12-24,645.2600,658.3800,638.7600,656.4900,656.4900,4881233,0.0000
2020-12-18,654.7700,658.3500,634.4700,652.0000,652.0000,7761729,0.0000
2020-12-11,667.3600,681.7100,642.7900,651.7600,651.7600,5584027,0.0000
2020-12-04,646.2200,675.7400,643.0400,670.7400,670.7400,4647885,0.0000
2020-11-27,657.8700,659.5600,633.6600,642.8000,642.8000,3806519,0.0000
2020-11-20,642.8400,663.0700,632.5300,655.4100,655.4100,5795450,0.0000
2020-11-13,659.7900,659.7900,603.4500,647.1900,647.1900,4804256,0.0000
2020-11-06,605.1000,650.4300,578.7600,644.4900,644.4900,6082450,0.0000
2020-10-30,588.7900,610.6600,572.4550,603.8200,603.8200,6876802,0.0000
2020-10-23,635.6700,640.0000,588.4100,593.2800,593.2800,4717937,0.0000
2020-10-16,643.5700,663.7000,630.5000,633.9200,633.9200,4710815,0.0000
2020-10-09,623.3500,639.3400,619.1000,635.6400,635.6400,3924809,0.0000
2020-10-02,625.1600,640.0000,617.2850,620.2300,620.2300,5434685,0.0000
2020-09-25,621.9700,634.3400,606.1100,614.2300,614.2300,5552229,0.0000
2020-09-18,608.0300,635.8550,603.6650,625.2500,625.2500,6074942,0.0000
2020-09-11,595.7300,622.2300,591.6000,601.5200,601.5200,4036665,0.0000
2020-09-04,614.8400,629.5200,592.0900,604.0200,604.0200,4525853,0.0000
2020-08-28,613.3900,621.0400,604.4100,615.6400,615.6400,4620207,0.0000
2020-08-21,608.8500,616.0700,601.1000,613.9600,613.9600,3619167,0.0000
2020-08-14,598.6500,610.9500,588.9700,604.9900,604.9900,4204939,0.0000
2020-08-07,585.0100,611.4700,579.0000,601.8700,601.8700,4174547,0.0000
2020-07-31,562.5400,594.3100,554.2600,580.0000,580.0000,4311787,0.0000
2020-07-24,564.6600,571.6000,554.3600,561.7200,561.7200,3085045,0.0000
2020-07-17,536.6300,569.8700,525.8700,564.6600,564.6600,5082774,0.0000
