timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,53.0000,53.2500,51.7700,52.1000,52.1000,51451226,0.0000
2021-02-12,51.0600,53.6000,51.0200,53.2300,53.2300,67363560,0.0000
2021-02-05,49.8600,52.0700,49.1000,51.1100,51.1100,84328780,0.0000
2021-01-29,48.5000,52.2900,48.3200,49.5700,49.5700,121203907,0.0000
2021-01-22,48.6700,49.2700,48.2400,48.6800,48.6800,71326357,0.0000
2021-01-15,51.7350,51.7400,48.1500,48.6900,48.6900,100710729,0.0000
2021-01-08,52.2800,52.4000,49.1000,51.5400,51.5400,105080565,0.2300
2020-12-31,50.7800,52.4800,50.5300,52.4000,52.1600,46244584,0.0000
2020-12-24,50.5200,50.6500,49.4800,50.3800,50.1492,50221754,0.0000
2020-12-18,50.8528,52.0950,50.4000,50.9000,50.6668,91110955,0.0000
2020-12-11,51.5800,52.3550,50.1300,50.9300,50.6967,79820080,0.0000
2020-12-04,51.1300,51.9100,49.8400,51.6900,51.4532,90095449,0.0000
2020-11-27,49.0900,52.4900,48.7900,51.7500,51.5129,71751695,0.0000
2020-11-20,49.4000,50.3800,48.9800,49.1700,48.9448,90446397,0.0000
2020-11-13,47.6000,49.2450,45.9500,49.0000,48.7755,107457205,0.0000
2020-11-06,42.7500,44.8100,40.9650,44.5300,44.3260,101332618,0.0000
2020-10-30,44.7100,44.8200,41.7464,42.2400,42.0465,89382018,0.0000
2020-10-23,45.5600,45.7600,43.9700,45.0600,44.8536,70343805,0.0000
2020-10-16,45.3000,46.3100,44.5250,45.5600,45.3513,74968362,0.0000
2020-10-09,45.3000,45.9300,44.2600,44.8500,44.6446,88809770,0.2300
2020-10-02,46.8900,47.0700,45.1100,45.1500,44.7121,89608406,0.0000
2020-09-25,44.9200,46.4750,43.4100,46.1500,45.7024,111884764,0.0000
2020-09-18,45.0200,47.5000,44.2900,45.2600,44.8211,117062275,0.0000
2020-09-11,43.8100,45.0100,43.1200,44.6700,44.2368,70658642,0.0000
2020-09-04,44.2600,45.9400,43.9000,44.4300,43.9991,96979348,0.0000
2020-08-28,42.8600,44.7950,42.8500,44.5600,44.1279,63401349,0.0000
2020-08-21,43.8700,43.9500,42.7200,43.0700,42.6523,54915485,0.0000
2020-08-14,42.5600,44.1800,42.5600,43.7700,43.3455,71811922,0.0000
2020-08-07,42.6900,43.4700,42.0200,42.8100,42.3948,66173348,0.0000
2020-07-31,43.2000,45.2000,41.9600,42.8000,42.3849,102915362,0.0000
2020-07-24,41.9900,43.9000,41.7600,43.3500,42.9296,96052614,0.0000
2020-07-17,40.4700,42.4800,39.8300,42.1800,41.7709,90313861,0.0000
2020-07-10,39.8000,40.5400,39.0300,40.5100,40.1171,84361566,0.0000
2020-07-02,38.8700,40.2800,38.1200,39.2500,38.8694,84400025,0.2300
2020-06-26,38.8000,39.6500,37.7700,38.6500,38.0507,135782803,0.0000
2020-06-19,39.2900,41.0500,38.5400,39.1000,38.4937,109086550,0.0000
2020-06-12,41.9300,43.1800,38.5200,39.4600,38.8481,88573881,0.0000
2020-06-05,39.5400,43.1000,39.4000,42.0900,41.4373,82581829,0.0000
2020-05-29,39.4500,40.4700,38.8000,39.6000,38.9859,80796260,0.0000
2020-05-22,36.9400,39.2400,36.8300,38.7400,38.1393,108673353,0.0000
2020-05-15,36.2600,36.3000,34.1700,35.9200,35.3630,125696312,0.0000
2020-05-08,37.1500,37.2000,35.1000,36.5300,35.9635,94288219,0.0000
2020-05-01,37.5700,39.1200,36.0100,36.9800,36.4066,110008763,0.0000
2020-04-24,37.6800,38.2200,35.5300,37.1600,36.5838,101949672,0.0000
2020-04-17,37.4500,38.7100,36.5800,38.0800,37.4895,111537655,0.0000
2020-04-09,35.3700,38.0500,35.0900,38.0000,37.4107,113103038,0.0000
2020-04-03,34.7400,35.7800,32.0500,33.9500,33.4235,129283276,0.2300
2020-03-27,33.1700,37.3100,31.7100,34.5700,33.8078,209170342,0.0000
2020-03-20,34.6400,39.3100,32.6400,33.3700,32.6342,207093249,0.0000
2020-03-13,38.1700,39.7200,34.4400,39.3300,38.4628,264021480,0.0000
2020-03-06,40.3400,43.4500,38.8300,40.3700,39.4799,164844083,0.0000
2020-02-28,45.1200,46.0100,38.9700,40.4300,39.5385,172977566,0.0000
2020-02-21,46.1400,46.4200,45.5000,45.8200,44.8097,61782164,0.0000
2020-02-14,44.6400,46.3500,44.2600,46.0900,45.0737,83574270,0.0000
2020-02-07,43.5600,45.1400,42.6200,44.7400,43.7535,104189888,0.0000
2020-01-31,43.9300,44.7500,42.7000,43.1900,42.2377,110953732,0.0000
2020-01-24,47.4800,47.7000,44.2100,44.5900,43.6068,114098600,0.0000
2020-01-17,44.9200,47.7400,44.9000,47.5000,46.4527,105919836,0.0000
2020-01-10,44.6600,45.6300,44.2200,44.9800,43.9882,90384067,0.2100
2020-01-03,45.1000,45.4000,44.5700,45.0100,43.8128,67446972,0.0000
