timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,146.8500,148.9800,143.3650,145.9500,145.9500,8413109,0.0000
2021-02-12,142.0000,148.2300,139.3400,147.7400,147.7400,13985628,0.0000
2021-02-05,143.7900,150.2997,137.7600,141.2200,141.2200,22751906,0.0000
2021-01-29,148.8100,150.3000,140.4700,143.2000,143.2000,18699672,0.0000
2021-01-22,139.4100,147.2800,138.0000,146.0000,146.0000,12364987,0.0000
2021-01-15,141.5200,141.8000,134.6300,139.0000,139.0000,14408161,0.0000
2021-01-08,143.4400,143.6500,136.3900,141.8600,141.8600,12942793,0.0000
2020-12-31,142.3263,143.8600,138.7800,143.6000,143.6000,6307154,0.0000
2020-12-24,141.6300,142.3900,138.6300,141.8100,141.8100,7186838,0.0000
2020-12-18,138.5000,143.4450,136.6000,142.6100,142.6100,19281191,0.0000
2020-12-11,129.1900,137.1100,128.8800,135.8000,135.8000,15836336,0.0000
2020-12-04,124.7700,130.8700,123.2700,128.6900,128.6900,19901561,0.1700
2020-11-27,122.0300,125.0000,119.7400,124.1700,124.0043,10796959,0.0000
2020-11-20,119.2500,123.0000,116.4100,121.8700,121.7074,14559119,0.0000
2020-11-13,116.4600,122.3200,110.1500,120.8000,120.6388,19577276,0.0000
2020-11-06,120.9400,128.8800,114.5300,119.1900,119.0310,22710209,0.0000
2020-10-30,126.4100,127.5800,118.5200,119.8300,119.6701,11645162,0.0000
2020-10-23,133.1400,133.8900,125.3975,126.7700,126.6009,8912074,0.0000
2020-10-16,128.9800,133.8600,127.8300,131.9200,131.7440,10572950,0.0000
2020-10-09,130.0900,132.9500,123.9700,127.4500,127.2799,12232609,0.0000
2020-10-02,133.3600,134.0550,127.7100,129.0700,128.8978,9375112,0.0000
2020-09-25,124.3300,132.3200,124.1500,131.1900,131.0150,10461289,0.0000
2020-09-18,127.9300,129.8600,123.3700,125.9000,125.7320,10893611,0.0000
2020-09-11,127.4600,131.1290,123.3300,126.0200,125.8519,11605892,0.0000
2020-09-04,141.0800,141.1100,126.9100,130.1300,129.9564,13646166,0.0000
2020-08-28,142.2700,144.5000,139.8500,140.8700,140.6820,7757704,0.0000
2020-08-21,139.2500,143.9600,138.3100,141.2100,141.0216,7915678,0.0000
2020-08-14,142.7700,143.9900,135.5601,140.4300,140.2426,8410062,0.0000
2020-08-07,141.5500,147.3600,139.5500,143.9900,143.7979,10037971,0.0000
2020-07-31,135.4900,142.8400,134.3900,141.6200,141.4310,11689463,0.0000
2020-07-24,139.4300,142.3100,132.7200,135.2400,135.0596,8367175,0.0000
2020-07-17,141.0100,141.5800,133.4800,138.3100,138.1255,10373919,0.0000
2020-07-10,135.4700,141.2500,133.5100,140.8100,140.6221,10516981,0.0000
2020-07-02,130.9800,136.4200,129.2000,133.8400,133.6614,8778349,0.0000
2020-06-26,131.0200,133.6000,128.0900,130.9300,130.7553,14711215,0.0000
2020-06-19,122.9000,131.2400,122.7100,130.1900,130.0163,15268653,0.0000
2020-06-12,116.5000,127.5400,115.8900,121.9700,121.8073,15837125,0.0000
2020-06-05,123.2800,124.2800,113.2800,118.3200,118.1621,14468406,0.0000
2020-05-29,120.4400,123.1400,111.1100,122.8800,122.7160,17564724,0.0000
2020-05-22,116.7100,121.7600,114.7300,119.8200,119.6601,14889480,0.0000
2020-05-15,116.9300,119.5200,114.4600,118.1300,117.9724,14925094,0.0000
2020-05-08,113.9100,120.1900,111.8300,116.6200,116.4644,21607083,0.0000
2020-05-01,117.9700,118.4700,110.8600,113.2700,113.1189,16797408,0.0000
2020-04-24,114.8400,116.6800,111.1800,116.3100,116.1548,12480141,0.0000
2020-04-17,105.6500,118.6900,104.6500,115.1500,114.9964,17456781,0.0000
2020-04-09,105.3900,109.3800,100.1100,105.8000,105.6588,16693575,0.0000
2020-04-03,96.7700,104.3500,96.1700,102.8300,102.6928,19049244,0.0000
2020-03-27,89.7300,103.1000,88.4300,95.3700,95.2428,29191179,0.0000
2020-03-20,89.1900,98.2000,85.6900,86.9400,86.8240,32363789,0.0000
2020-03-13,101.5700,104.1800,92.5500,97.0600,96.9305,28346867,0.0000
2020-03-06,101.9200,111.9400,101.7100,107.6700,107.5263,19482461,0.0000
2020-02-28,105.0500,109.2200,98.5900,101.3700,101.2347,21086691,0.0000
2020-02-21,109.0900,110.9000,106.8000,108.0100,107.8659,10292520,0.0000
2020-02-14,109.0200,109.9800,107.9400,109.6900,109.5436,7787889,0.0000
2020-02-07,107.9300,110.9600,104.4000,109.0900,108.9444,15974557,0.0000
2020-01-31,110.2400,112.9600,105.5000,107.9200,107.7760,18436779,0.0000
2020-01-24,112.5500,114.1300,111.6300,112.3300,112.1801,8433053,0.0000
2020-01-17,109.0500,112.9900,108.6200,112.9300,112.7793,10062673,0.0000
2020-01-10,106.9500,110.3400,106.6300,108.5900,108.4451,10855348,0.0000
2020-01-03,108.1100,108.3700,105.1200,107.2000,107.0570,6931722,0.0000
2019-12-27,108.2700,108.9200,107.6700,108.4300,108.2853,5068852,0.0000
2019-12-20,105.0100,108.4500,104.8200,107.9500,107.8060,9662071,0.0000
2019-12-13,103.3400,105.8400,101.2900,104.5500,104.4105,11075230,0.0000
2019-12-06,101.4200,103.3000,99.1000,103.2300,103.0923,12909720,0.0000
2019-11-29,99.2800,102.0000,98.7100,101.0100,100.8752,8775274,0.0000
2019-11-22,97.4300,99.9300,96.1200,99.1900,99.0577,14605294,0.0000
2019-11-15,97.5500,99.3900,95.2500,97.5400,97.4099,15328379,0.0000
2019-11-08,96.3500,99.2900,95.6000,98.2700,98.1389,13472041,0.0000
2019-11-01,97.0000,97.9000,92.5600,95.3000,95.1728,24424019,0.0000
2019-10-25,95.4800,96.9700,93.2100,96.3100,96.1815,12836636,0.0000
2019-10-18,94.0000,98.0000,92.7100,95.1300,95.0031,13121356,0.0000
2019-10-11,95.1200,95.8700,92.1600,94.1900,94.0643,12704579,0.0000
2019-10-04,95.8500,98.0000,92.4400,95.6100,95.4824,16570168,0.0000
2019-09-27,98.2300,99.4100,95.0500,95.6700,95.5423,10870456,0.0000
2019-09-20,98.0300,100.5200,96.5300,98.7000,98.5683,11692674,0.0000
2019-09-13,99.0100,101.7800,97.4400,98.4800,98.3486,15378236,0.0000
2019-09-06,92.7300,99.8200,92.6500,98.5300,98.3985,12606461,0.0000
2019-08-30,93.7700,96.3000,91.5700,93.6800,93.5550,14644252,0.0000
2019-08-23,91.2400,95.7300,90.1200,92.9100,92.7860,16784161,0.0000
2019-08-16,91.5000,93.5600,87.2300,89.5600,89.4405,15397924,0.0000
2019-08-09,90.3100,95.2900,88.2200,91.9700,91.8473,20565716,0.0000
2019-08-02,89.4100,97.0700,86.2400,92.8900,92.7661,30617142,0.0000
2019-07-26,88.0200,90.4900,87.5100,89.5100,89.3906,12939011,0.0000
2019-07-19,92.7500,93.0100,87.4700,87.5000,87.3833,19787399,0.0000
2019-07-12,93.4400,94.8500,90.5400,92.8200,92.6962,19799568,0.0000
2019-07-05,102.6500,103.5900,91.3500,93.6000,93.4751,23841545,0.0000
2019-06-28,95.6600,101.4500,95.2300,101.2600,101.1249,19351029,0.0000
2019-06-21,92.6200,95.9800,91.3200,95.3300,95.2028,17998824,0.0000
2019-06-14,98.0000,98.1300,90.4600,92.7300,92.6063,13004539,0.0000
2019-06-07,93.2900,98.6900,90.1900,96.9900,96.8606,13498941,0.0000
2019-05-31,92.9800,94.2100,90.8900,93.0800,92.9558,9950904,0.0000
2019-05-24,95.4400,96.2500,91.3600,92.2700,92.1469,14967688,0.0000
2019-05-17,92.0100,99.0500,89.9100,97.2600,97.1302,20909582,0.0000
2019-05-10,91.1000,99.5700,90.5200,93.8800,93.7547,38111283,0.0000
2019-05-03,94.8900,97.2000,90.7000,92.5000,92.3766,20206844,0.0000
2019-04-26,92.7500,95.2800,91.8800,94.4700,94.3440,16392792,0.0000
2019-04-18,100.5500,100.9900,91.0000,93.1400,93.0157,25645788,0.0000
2019-04-12,99.0100,102.3900,95.6600,101.8300,101.6941,13600543,0.0000
2019-04-05,103.0300,103.9500,97.5900,99.4300,99.2973,17606581,0.0000
2019-03-29,102.4000,104.5500,100.2800,101.6300,101.4944,16300521,0.0000
2019-03-22,99.1600,105.0000,96.3500,102.3400,102.2035,32786599,0.0000
2019-03-15,98.6000,101.0800,97.5400,98.9800,98.8479,26391297,0.0000
2019-03-08,98.3100,99.7500,94.1300,98.3600,98.2288,33441700,0.0000
2019-03-01,96.3200,100.8100,93.6400,97.4100,97.2800,31093876,0.0000
2019-02-22,105.7500,105.7500,92.8500,95.9200,95.7920,41253063,0.0000
2019-02-15,102.1600,108.8000,96.7300,106.8400,106.6974,107557742,0.0000
2019-02-08,91.0600,97.6500,78.0000,97.6000,97.4698,86402225,0.0000
2019-02-01,89.4500,92.8000,86.8200,91.2200,91.0983,19137213,0.0000
2019-01-25,91.6800,92.9800,88.4400,91.7400,91.6176,15897171,0.0000
2019-01-18,89.6200,93.1600,85.9600,92.5200,92.3966,22446301,0.0000
2019-01-11,84.8900,91.5900,83.4400,90.7000,90.5790,25761710,0.0000
2019-01-04,80.0000,85.2500,77.2000,84.4200,84.3074,17120710,0.0000
2018-12-28,75.7600,80.2900,73.9100,79.3000,79.1942,12808815,0.0000
2018-12-21,80.1400,82.0200,75.6300,76.5700,76.4678,30089179,0.0000
2018-12-14,82.3400,85.3700,79.1400,80.1600,80.0530,21404634,0.0000
2018-12-07,85.8100,86.6400,79.5000,82.5200,82.4099,20518309,0.0000
2018-11-30,83.5200,87.2400,82.4900,84.0700,83.9578,21875978,0.0000
2018-11-23,86.1000,86.2100,80.4200,82.6700,82.5597,15030317,0.0000
2018-11-16,88.6000,89.3500,84.8600,85.9700,85.8553,20859946,0.0000
2018-11-09,92.5700,94.6300,88.2200,88.8900,88.7714,27817152,0.0000
2018-11-02,95.7800,97.3000,89.1200,92.4600,92.3366,44916088,0.0000
2018-10-26,102.8100,104.2400,95.5900,96.2200,96.0916,26552259,0.0000
2018-10-19,105.4500,109.3600,101.9800,102.1100,101.9738,21404272,0.0000
2018-10-12,112.8200,113.2900,102.3000,106.1000,105.9584,29102998,0.0000
2018-10-05,121.1500,121.3000,111.9900,113.7300,113.5783,22342247,0.0000
2018-09-28,114.7200,120.6600,113.8000,120.4900,120.3292,17680016,0.0000
2018-09-21,114.3800,116.0300,110.8500,115.0200,114.8665,21146586,0.0000
2018-09-14,115.2500,116.5100,110.5300,114.2700,114.1175,17424705,0.0000
2018-09-07,113.7200,116.0000,110.9800,114.9100,114.7567,21681903,0.0000
2018-08-31,130.2900,130.5700,113.0900,113.4100,113.2587,37199908,0.0000
2018-08-24,127.0800,129.5000,124.6600,128.9700,128.7979,24001055,0.0000
2018-08-17,131.4100,133.6500,126.0200,128.0100,127.8392,21661688,0.0000
2018-08-10,130.0200,132.0400,126.7800,131.3200,131.1448,19417203,0.0000
2018-08-03,133.4500,134.0000,125.3100,130.8700,130.6954,29575663,0.0000
2018-07-27,146.5100,148.0000,131.2500,133.8100,133.6315,27143724,0.0000
2018-07-20,148.9500,150.0000,145.0100,147.4800,147.2832,10688257,0.0000
2018-07-13,145.5500,151.2600,142.2700,148.7300,148.5316,9827524,0.0000
2018-07-06,140.4900,145.2900,140.2100,145.1000,144.9064,5936053,0.0000
2018-06-29,140.7300,143.1500,137.6800,141.0200,140.8318,12886771,0.0000
2018-06-22,145.5000,145.6900,140.9500,141.2600,141.0715,13533441,0.0000
2018-06-15,139.0800,147.1300,138.4300,146.6500,146.4543,22910752,0.0000
2018-06-08,135.7000,138.7500,133.6800,137.8700,137.6860,14006177,0.0000
2018-06-01,130.7100,135.8000,129.8400,135.6900,135.5090,8571202,0.0000
2018-05-25,132.7100,134.6100,129.5700,131.8500,131.6741,10579280,0.0000
2018-05-18,133.0700,133.9700,128.0200,132.0000,131.8239,11992905,0.0000
2018-05-11,124.7000,134.5800,122.1600,132.8100,132.6328,24194148,0.0000
2018-05-04,117.6400,124.3100,114.8800,123.6400,123.4750,22328293,0.0000
2018-04-27,122.3900,122.3900,115.8100,117.4700,117.3133,13558632,0.0000
2018-04-20,121.4200,125.8300,119.9200,120.8900,120.7287,11421745,0.0000
2018-04-13,119.1900,122.0100,118.3000,120.5300,120.3692,12675084,0.0000
2018-04-06,120.4800,122.7800,116.2800,118.3600,118.2021,14000551,0.0000
2018-03-29,124.2400,127.5000,118.2600,121.2400,121.0782,11762156,0.0000
2018-03-23,127.5300,128.0800,121.3800,121.4400,121.2780,12424382,0.0000
2018-03-16,128.5600,131.1300,123.6400,128.5200,128.3485,15419273,0.0000
2018-03-09,124.1600,130.8600,123.2500,128.4900,128.3186,12752358,0.0000
2018-03-02,127.3900,128.8000,120.5800,125.0900,124.9231,16087218,0.0000
2018-02-23,125.3700,128.1000,123.7400,127.1000,126.9304,9940790,0.0000
2018-02-16,121.7800,127.0300,120.5800,126.0200,125.8519,16208617,0.0000
2018-02-09,123.7300,126.2100,114.6700,120.6400,120.4790,23090731,0.0000
2018-02-02,115.2100,131.0100,115.2100,124.5300,124.3638,39953923,0.0000
2018-01-26,116.3200,118.6700,113.5400,115.2000,115.0463,20095433,0.0000
2018-01-19,114.0000,116.4100,111.5200,116.1800,116.0250,13308730,0.0000
2018-01-12,113.5000,114.1700,110.4600,113.1300,112.9791,15876535,0.0000
2018-01-05,106.1500,112.7600,105.3500,112.3900,112.2400,17040853,0.0000
2017-12-29,105.6600,106.4400,104.3900,105.0600,104.9198,7577405,0.0000
2017-12-22,109.8900,110.0000,105.6800,106.0200,105.8785,14055184,0.0000
2017-12-15,105.6100,109.6800,104.7000,109.2800,109.1342,18851254,0.0000
2017-12-08,105.5300,106.4000,99.6300,105.2700,105.1295,22053816,0.0000
2017-12-01,107.8600,110.5200,103.9500,106.0200,105.8785,22569042,0.0000
2017-11-24,108.2800,108.7699,106.6100,107.9400,107.7960,12856167,0.0000
2017-11-17,112.0000,113.9000,107.5000,108.8200,108.6748,19981553,0.0000
2017-11-10,112.9900,115.6000,110.0800,112.7500,112.5996,15442005,0.0000
2017-11-03,117.1300,119.8400,111.2800,113.2000,113.0490,23266034,0.0000
2017-10-27,113.8100,117.5500,112.5900,116.8900,116.7340,12198901,0.0000
2017-10-20,118.8100,119.0000,110.3100,113.6200,113.4684,20314023,0.0000
2017-10-13,119.2400,119.4900,115.5200,118.6200,118.4617,9857275,0.0000
2017-10-06,118.8900,120.2900,116.4100,120.0900,119.9298,7570457,0.0000
2017-09-29,118.0500,118.2900,112.8330,118.0600,117.9025,11761185,0.0000
2017-09-22,119.5000,121.4000,117.1500,118.5000,118.3419,10932257,0.0000
2017-09-15,119.8800,122.1250,117.7100,119.4200,119.2607,12836673,0.0000
2017-09-08,118.8000,120.1600,116.3200,118.2800,118.1222,8033353,0.0000
2017-09-01,117.5200,122.7900,116.9500,119.3100,119.1508,10353765,0.0000
2017-08-25,116.8500,120.4500,115.7100,116.9300,116.7740,8650423,0.0000
2017-08-18,116.7100,119.5900,115.4600,116.8800,116.7240,9597137,0.0000
2017-08-11,117.6000,117.9600,113.5100,115.4500,115.2960,8882662,0.0000
2017-08-04,119.0500,119.2500,113.8300,117.2200,117.0636,13481419,0.0000
2017-07-28,112.2200,120.2500,112.2200,118.2500,118.0922,23729291,0.0000
