timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,332.5000,342.2100,321.1350,330.6700,330.6700,4975629,0.9000
2021-02-12,289.9400,334.7650,288.6600,331.8100,330.8941,6083720,0.0000
2021-02-05,286.0200,301.6000,282.4900,288.0300,287.2350,5730016,0.0000
2021-01-29,309.4000,312.3300,279.7200,280.0700,279.2969,5631312,0.0000
2021-01-22,307.8400,317.6000,300.4300,305.0100,304.1681,4082935,0.0000
2021-01-15,281.3500,315.8700,278.0100,304.1300,303.2905,7709821,0.0000
2021-01-08,262.0600,287.3400,257.7000,283.1800,282.3984,5241175,0.0000
2020-12-31,260.7900,262.3700,252.0200,258.9100,258.1953,2443310,0.0000
2020-12-24,258.7200,262.0500,252.5200,259.0800,258.3649,2820216,0.0000
2020-12-18,257.4700,264.7900,257.2800,262.1500,261.4264,6088047,0.0000
2020-12-11,265.2300,268.8900,252.2600,257.6300,256.9189,4736128,0.0000
2020-12-04,256.9900,264.1700,248.4150,263.7000,262.9721,4037407,0.0000
2020-11-27,243.2800,256.2200,242.6600,254.1300,253.4285,2318280,0.0000
2020-11-20,237.6400,247.3900,236.0100,242.5700,241.9005,4415872,0.0000
2020-11-13,237.7100,242.6026,223.1300,236.1000,235.4483,4989495,0.9000
2020-11-06,199.8000,233.2800,198.8205,231.6800,230.1631,5335309,0.0000
2020-10-30,200.6500,204.0800,190.2050,197.1800,195.8890,5635416,0.0000
2020-10-23,212.3400,212.3400,201.5200,203.1700,201.8398,3936556,0.0000
2020-10-16,213.9600,223.5400,207.6000,208.4000,207.0356,6026733,0.0000
2020-10-09,193.2800,212.1100,192.7200,211.0400,209.6583,5572120,0.0000
2020-10-02,188.1400,200.2100,186.8000,191.9600,190.7032,5142136,0.0000
2020-09-25,178.3600,188.6200,175.6120,187.9100,186.6797,5114560,0.0000
2020-09-18,176.5600,185.1900,174.7000,178.9600,177.7883,7203279,0.0000
2020-09-11,181.1900,182.6700,171.3100,171.9400,170.8143,8965840,0.0000
2020-09-04,207.7800,216.1700,186.7800,193.3700,192.1040,7028013,0.0000
2020-08-28,207.5000,214.1400,203.5000,208.6100,207.2442,4395122,0.0000
2020-08-21,213.1900,218.5700,202.1132,203.9700,202.6346,5221848,0.0000
2020-08-14,201.4000,215.2000,198.2500,211.5100,210.1252,4949811,0.9000
2020-08-07,202.5900,208.0400,200.1543,202.8500,200.6680,6400379,0.0000
2020-07-31,192.2700,200.0000,190.1850,199.8300,197.6805,6806776,0.0000
2020-07-24,197.3200,209.3000,187.1400,188.2100,186.1855,6244196,0.0000
2020-07-17,204.9600,207.7800,193.0000,197.2000,195.0788,6032634,0.0000
2020-07-10,199.3900,206.5100,198.2200,202.2600,200.0844,5506007,0.0000
2020-07-02,190.5400,198.2100,186.5850,196.5100,194.3962,4440498,0.0000
2020-06-26,189.3500,195.1600,185.6900,189.5700,187.5309,6602432,0.0000
2020-06-19,178.2400,197.5000,176.5800,193.1000,191.0229,8268561,0.0000
2020-06-12,193.6200,195.0000,179.8400,184.6900,182.7034,5086158,0.0000
2020-06-05,175.0000,196.2500,172.9400,192.4800,190.4096,6207065,0.0000
2020-05-29,176.9100,180.3300,168.2400,175.9600,174.0673,6635076,0.0000
2020-05-22,171.8100,180.2100,168.7800,173.0000,171.1391,5532368,0.0000
2020-05-15,169.1900,176.9600,158.8900,167.4300,165.6290,10309853,0.8500
2020-05-08,149.6800,172.3900,147.5400,171.5000,168.7983,8714038,0.0000
2020-05-01,167.0400,177.1700,147.7100,150.2700,147.9027,7682646,0.0000
2020-04-24,158.7900,165.5700,147.4600,164.9200,162.3220,6024421,0.0000
2020-04-17,149.5000,162.3400,148.1800,161.2100,158.6704,5983041,0.0000
2020-04-09,135.2100,157.8700,132.9300,150.1200,147.7551,5954023,0.0000
2020-04-03,142.0700,150.8400,125.5600,127.9400,125.9245,8682661,0.0000
2020-03-27,114.3200,150.4700,110.1900,142.2400,139.9992,10715642,0.0000
2020-03-20,128.6900,150.4400,113.0800,114.0200,112.2238,13218595,0.0000
2020-03-13,144.9800,154.7600,125.2500,145.3700,143.0799,13462475,0.0000
2020-03-06,154.5000,160.7100,151.4900,155.6800,153.2275,10153118,0.0000
2020-02-28,154.7500,156.8600,142.0900,153.7100,151.2886,13860910,0.0000
2020-02-21,167.0000,174.8200,160.8100,161.1200,158.5818,6422161,0.8500
2020-02-14,164.1000,180.0800,164.0800,176.2800,172.6259,5930312,0.0000
2020-02-07,167.2700,178.8000,164.7600,165.1000,161.6777,8893786,0.0000
2020-01-31,174.7700,176.9400,165.2500,165.7400,162.3044,6502822,0.0000
2020-01-24,177.6500,184.5000,177.5700,179.4000,175.6813,4653763,0.0000
2020-01-17,173.9700,181.8300,173.3600,178.7300,175.0252,5661164,0.0000
2020-01-10,176.3200,179.4200,171.9500,173.0100,169.4237,5091543,0.0000
2020-01-03,178.0200,182.7000,175.2300,179.0800,175.3679,3464816,0.0000
2019-12-27,178.8600,179.7100,176.2800,178.5200,174.8195,2308565,0.0000
2019-12-20,174.7400,177.8400,172.0300,177.4700,173.7913,8038717,0.0000
2019-12-13,163.3300,173.0900,160.6300,171.2400,167.6904,5675696,0.0000
