timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,344.1900,345.0000,325.7500,332.2300,332.2300,4145421,0.0000
2021-02-12,335.9500,347.0000,334.1200,342.8600,342.8600,4655374,0.0000
2021-02-05,329.3800,345.0000,324.4000,334.0800,334.0800,6291891,0.0000
2021-01-29,347.1400,350.0000,312.9000,328.6800,328.6800,8782471,0.0000
2021-01-22,346.4900,358.0500,340.1501,346.3700,346.3700,4005051,0.0000
2021-01-15,354.1300,373.0798,337.4300,344.5000,344.5000,6939087,0.0000
2021-01-08,351.6700,374.2000,346.4100,365.4600,365.4600,7407014,0.0000
2020-12-31,355.1850,356.0000,343.6700,348.0300,348.0300,4564616,0.0000
2020-12-24,373.3550,377.7699,350.4500,351.4200,351.4200,6159804,0.0000
2020-12-18,344.0000,387.3700,337.0700,378.0500,378.0500,13463273,0.0000
2020-12-11,376.3000,378.5000,343.2800,344.3200,344.3200,14474407,0.0000
2020-12-04,367.7800,383.5400,357.4900,377.0600,377.0600,7023318,0.0000
2020-11-27,348.4500,365.7800,343.6200,365.3900,365.3900,3409572,0.0000
2020-11-20,324.0200,349.9800,322.1700,345.7400,345.7400,4375085,0.0000
2020-11-13,351.5000,353.9300,311.0400,325.4500,325.4500,6078138,0.0000
2020-11-06,321.0200,349.6400,307.8101,343.8000,343.8000,6083174,0.0000
2020-10-30,336.1000,340.8500,314.6300,319.2900,319.2900,5598871,0.0000
2020-10-23,351.0000,352.3100,316.4800,333.9200,333.9200,7280145,0.0000
2020-10-16,351.2000,359.2350,342.8250,349.9500,349.9500,5399234,0.0000
2020-10-09,334.0000,349.3500,327.0260,346.4600,346.4600,7002615,0.0000
2020-10-02,317.8800,343.2699,310.5950,332.6700,332.6700,8358779,0.0000
2020-09-25,289.6500,331.8500,287.2100,315.3500,315.3500,15173105,0.0000
2020-09-18,315.9900,319.0000,290.5700,294.7600,294.7600,10605126,0.0000
2020-09-11,351.0100,365.0000,308.6300,313.3900,313.3900,18562589,0.0000
