timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,182.4100,184.1800,168.0000,174.7400,174.7400,24996359,0.0000
2021-02-12,177.0000,189.2600,176.2000,183.7400,183.7400,39488012,0.0000
2021-02-05,173.0300,177.5000,147.1000,176.2400,176.2400,67882325,0.0000
2021-01-29,138.4000,185.9800,137.2500,173.1600,173.1600,120383178,0.0000
2021-01-22,122.1000,137.0000,120.5000,131.0200,131.0200,55478494,0.0000
2021-01-15,112.7500,133.2900,112.6200,129.6500,129.6500,75263762,0.0000
2021-01-08,107.2300,122.8200,103.2600,112.7500,112.7500,92472302,0.0000
2020-12-31,120.0400,122.8800,102.6600,104.4700,104.4700,101766568,0.0000
2020-12-24,140.8400,147.2600,115.0000,123.3900,123.3900,114673620,0.0000
2020-12-18,163.4000,163.7611,134.3100,140.2300,140.2300,152957565,0.0000
2020-12-11,155.0300,170.8000,147.2000,156.9300,156.9300,144230076,0.0000
2020-12-04,144.0000,178.5000,128.1000,152.5200,152.5200,314941464,0.0000
2020-11-27,100.7700,130.0600,93.5400,127.0300,127.0300,98068772,0.0000
2020-11-20,100.3100,103.2000,88.6103,97.6100,97.6100,150156786,0.0000
2020-11-13,77.7500,90.5300,73.5200,89.3900,89.3900,85269819,0.0000
2020-11-06,68.0200,74.1600,66.5500,72.4500,72.4500,24750160,0.0000
2020-10-30,70.3600,74.5390,65.4899,67.4700,67.4700,34591899,0.0000
2020-10-23,73.9700,74.0900,68.0600,70.5300,70.5300,25934547,0.0000
2020-10-16,73.6100,81.3700,72.9200,73.9400,73.9400,37611963,0.0000
2020-10-09,69.6400,73.9200,69.0500,73.0000,73.0000,26792075,0.0000
2020-10-02,69.5900,75.3900,67.2500,68.8100,68.8100,44166309,0.0000
2020-09-25,68.6000,69.7300,63.6400,69.4700,69.4700,36201818,0.0000
2020-09-18,60.1500,70.9000,60.1150,69.8700,69.8700,55911361,0.0000
2020-09-11,57.7500,60.3200,54.2100,59.3400,59.3400,39868839,0.0000
2020-09-04,67.1400,69.3500,59.0100,62.6000,62.6000,59307691,0.0000
