timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,602.5700,614.9000,583.0000,597.0600,597.0600,27480479,0.0000
2021-02-12,549.0886,611.6455,549.0886,598.4500,598.4500,50681041,0.0000
2021-02-05,522.1335,557.2700,516.1100,543.6400,543.6400,26279246,0.0000
2021-01-29,551.2700,553.1400,511.7500,519.5900,519.5900,32155810,0.0000
2021-01-22,520.6500,559.9743,513.7600,548.5000,548.5000,26747898,0.0000
2021-01-15,536.7500,558.4400,513.9400,514.3800,514.3800,39427044,0.0000
2021-01-08,524.1700,546.0999,503.4400,531.0700,531.0700,55445870,0.0000
2020-12-31,522.5000,528.5500,510.5270,522.2000,522.2000,19991498,0.0000
2020-12-24,522.9900,534.8000,517.5500,519.7500,519.7500,19141833,0.0000
2020-12-18,523.5150,538.5600,522.8200,530.8800,530.8800,31505175,0.0000
2020-12-11,544.0500,549.2500,512.9200,520.5300,520.5300,32837392,0.0000
2020-12-04,530.6000,546.9377,518.8941,542.3300,542.3300,31714310,0.1600
2020-11-27,526.8452,536.3000,515.4000,530.4500,530.2917,28282528,0.0000
2020-11-20,526.9000,545.9800,522.6000,523.5100,523.3537,53593802,0.0000
2020-11-13,582.1000,587.6600,505.1300,531.8800,531.7212,58629646,0.0000
2020-11-06,506.3100,583.5500,495.8000,582.4800,582.3061,42129015,0.0000
2020-10-30,537.0800,547.7117,492.0000,501.3600,501.2103,42535248,0.0000
2020-10-23,556.1150,559.3399,529.2700,543.6100,543.4477,31771041,0.0000
2020-10-16,559.5800,573.9399,550.7100,552.4600,552.2951,39146469,0.0000
2020-10-09,529.4400,565.6800,528.9106,550.5100,550.3457,60202877,0.0000
2020-10-02,521.6100,550.5095,510.0000,522.4900,522.3340,74087411,0.0000
2020-09-25,477.0000,515.3400,476.1800,514.9500,514.7963,83344086,0.0000
2020-09-18,523.2400,532.6000,479.5500,487.5700,487.4245,99446865,0.0000
2020-09-11,469.3800,522.6100,468.1700,486.5800,486.4348,71688477,0.0000
2020-09-04,527.3114,589.0699,468.1900,504.9000,504.7493,107403423,0.1600
2020-08-28,515.3500,525.9200,500.3000,525.9100,525.6009,48891134,0.0000
2020-08-21,474.0500,512.3480,472.6876,507.3400,507.0418,91600965,0.0000
2020-08-14,453.3700,468.8700,431.8300,462.5600,462.2881,49703627,0.0000
