timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,306.4000,309.1400,285.0300,286.9200,286.9200,42506648,0.0000
2021-02-12,276.8800,302.1000,274.6235,298.3700,298.3700,61290602,0.0000
2021-02-05,238.3700,274.9400,235.4000,269.4400,269.4400,60232997,0.0000
2021-01-29,253.8000,254.3900,225.0000,234.3100,234.3100,46270780,0.0000
2021-01-22,243.3000,254.3900,241.0000,252.0000,252.0000,31377060,0.0000
2021-01-15,238.0400,249.8500,233.8300,239.7900,239.7900,31903942,0.0000
2021-01-08,237.8000,242.9100,225.7021,242.4600,242.4600,36283858,0.0000
2020-12-31,243.5000,243.5000,229.6800,234.2000,234.2000,26288760,0.0000
2020-12-24,232.6200,244.2500,232.2013,238.6400,238.6400,23972068,0.0000
2020-12-18,215.9500,238.1000,215.0000,236.4500,236.4500,46826351,0.0000
2020-12-11,217.3900,219.3200,206.6500,214.0600,214.0600,29430665,0.0000
2020-12-04,212.5100,220.5700,207.0900,217.7700,217.7700,44476829,0.0000
2020-11-27,194.5300,216.0700,193.9200,211.3900,211.3900,45862959,0.0000
2020-11-20,185.1900,194.7300,183.5400,192.6700,192.6700,45582104,0.0000
2020-11-13,195.7400,196.0700,178.6000,188.6200,188.6200,54406714,0.0000
2020-11-06,189.0100,204.9200,174.8100,202.7300,202.7300,85412538,0.0000
2020-10-30,200.6600,203.8900,182.9200,186.1300,186.1300,40188737,0.0000
2020-10-23,205.5200,215.8300,199.1000,203.0400,203.0400,47724630,0.0000
2020-10-16,199.8700,209.0200,196.6323,204.4500,204.4500,44634891,0.0000
2020-10-09,193.5500,197.3700,190.8800,197.2700,197.2700,27839567,0.0000
2020-10-02,190.9996,201.2700,188.0900,191.9100,191.9100,36111678,0.0000
2020-09-25,174.8400,188.4700,174.0800,187.2500,187.2500,44468261,0.0000
2020-09-18,186.0000,190.4500,171.6300,176.0700,176.0700,48388568,0.0000
2020-09-11,184.7000,198.2200,180.9300,184.0000,184.0000,32515344,0.0000
2020-09-04,203.7000,212.4500,182.8500,191.8400,191.8400,52127134,0.0000
2020-08-28,200.0000,207.0000,196.2400,204.4800,204.4800,27217665,0.0000
2020-08-21,193.9200,199.0999,191.5100,196.7900,196.7900,31291674,0.0000
2020-08-14,198.7000,199.8500,186.5200,191.4600,191.4600,40817808,0.0000
2020-08-07,198.2500,204.2300,195.2200,198.6300,198.6300,33653281,0.0000
2020-07-31,173.9200,198.6599,172.3900,196.0700,196.0700,56100059,0.0000
2020-07-24,174.6500,180.7500,169.0800,172.5600,172.5600,29533908,0.0000
2020-07-17,180.4200,180.6600,164.3300,173.9200,173.9200,41562854,0.0000
2020-07-10,180.2900,183.9900,174.4600,178.4000,178.4000,35047178,0.0000
2020-07-02,171.4800,179.8000,165.5600,177.2100,177.2100,25071534,0.0000
2020-06-26,165.5800,175.4000,164.2900,170.8700,170.8700,39228841,0.0000
2020-06-19,152.6404,171.1200,152.2200,164.3600,164.3600,37155883,0.0000
2020-06-12,154.2800,160.8900,151.8900,155.2600,155.2600,34721668,0.0000
2020-06-05,154.9000,159.4799,150.0000,156.0000,156.0000,34736180,0.0000
2020-05-29,154.1200,155.3300,140.0200,155.0100,155.0100,40029079,0.0000
2020-05-22,148.1250,151.0800,145.2200,150.8600,150.8600,35473948,0.0000
2020-05-15,142.9600,145.8900,139.6100,145.5100,145.5100,48807650,0.0000
2020-05-08,121.2600,147.2000,120.3100,144.9600,144.9600,79604822,0.0000
2020-05-01,121.2500,124.0300,115.9029,120.6100,120.6100,38945637,0.0000
2020-04-24,110.9000,120.4700,107.4100,120.1800,120.1800,53590770,0.0000
2020-04-17,104.8500,112.1200,102.3400,111.8500,111.8500,44600796,0.0000
2020-04-09,97.8000,108.7000,96.2600,105.8400,105.8400,42571311,0.0000
2020-04-03,95.5000,99.4314,89.8800,92.3900,92.3900,43235650,0.0000
2020-03-27,86.2900,100.9300,82.0700,93.4800,93.4800,59485380,0.0000
2020-03-20,94.0000,103.1550,86.1500,86.6800,86.6800,77290376,0.0000
2020-03-13,102.7200,110.6000,94.5000,110.1500,110.1500,74253350,0.0000
2020-03-06,107.4600,115.3900,106.5300,110.8900,110.8900,49720164,0.0000
2020-02-28,114.2900,116.7900,103.7200,107.9900,107.9900,66760267,0.0000
2020-02-21,122.5800,124.4500,118.5300,119.4900,119.4900,23073589,0.0000
2020-02-14,118.5600,123.0000,117.8000,122.9900,122.9900,27864507,0.0000
2020-02-07,114.3000,122.1900,114.0500,118.8800,118.8800,31415266,0.0000
2020-01-31,113.6300,117.5300,112.3100,113.8900,113.8900,45811416,0.0000
2020-01-24,115.3100,119.6000,115.1100,116.9800,116.9800,29472863,0.0000
2020-01-17,113.9800,116.7000,113.8600,116.0400,116.0400,36730941,0.0000
2020-01-10,107.5700,113.7100,107.4400,112.9300,112.9300,34894522,0.0000
2020-01-03,109.5200,111.2100,107.2000,108.7600,108.7600,22369547,0.0000
2019-12-27,109.0500,110.1800,108.3800,109.4000,109.4000,13779658,0.0000
2019-12-20,108.4000,109.8280,107.4600,108.7500,108.7500,39534519,0.0000
2019-12-13,104.6000,107.9050,103.2600,107.6500,107.6500,30161570,0.0000
2019-12-06,107.9600,108.4900,104.1100,104.3400,104.3400,36753594,0.0000
2019-11-29,102.3800,108.3900,102.0600,108.0100,108.0100,33483455,0.0000
2019-11-22,103.8500,106.1700,100.7200,101.7700,101.7700,32727713,0.0000
2019-11-15,101.0400,104.4800,100.6600,104.2000,104.2000,28056280,0.0000
2019-11-08,105.7200,105.7600,99.6000,101.4200,101.4200,36926601,0.0000
2019-11-01,107.9900,108.4600,103.2600,104.9800,104.9800,29276988,0.0000
2019-10-25,102.3600,107.4900,94.7700,107.1900,107.1900,71427603,0.0000
2019-10-18,101.5900,104.3400,100.7500,101.2200,101.2200,23808141,0.0000
2019-10-11,102.1100,103.9600,99.2500,101.5800,101.5800,25616157,0.0000
2019-10-04,102.6800,104.6409,98.6100,102.7900,102.7900,32148692,0.0000
2019-09-27,104.7300,106.1000,101.1000,102.2000,102.2000,27335003,0.0000
2019-09-20,106.1300,108.0100,103.7300,104.6400,104.6400,31972439,0.0000
2019-09-13,110.6200,110.7700,101.3100,107.0000,107.0000,51368856,0.0000
2019-09-06,107.9200,111.6700,106.4600,110.0500,110.0500,17754388,0.0000
2019-08-30,107.1100,110.9700,105.3500,109.0500,109.0500,19752398,0.0000
2019-08-23,108.0000,110.2900,105.5100,106.0400,106.0400,26819110,0.0000
2019-08-16,104.0100,106.7000,102.2100,106.1600,106.1600,40384707,0.0000
2019-08-09,103.7600,108.1400,102.4100,104.8200,104.8200,42700207,0.0000
2019-08-02,113.5000,114.2800,105.8300,107.0900,107.0900,52275419,0.0000
2019-07-26,118.9900,121.3300,113.2300,115.4900,115.4900,47076393,0.0000
2019-07-19,120.7700,121.4800,118.6000,118.6300,118.6300,21712574,0.0000
2019-07-12,116.3400,121.0000,115.1401,120.1200,120.1200,25142152,0.0000
2019-07-05,116.7200,117.7200,114.3500,117.1600,117.1600,16955715,0.0000
2019-06-28,116.5100,116.9600,113.0800,114.4600,114.4600,25221653,0.0000
2019-06-21,116.5800,119.9500,115.2200,116.2100,116.2100,32669923,0.0000
2019-06-14,115.1000,117.4500,113.2950,116.1700,116.1700,23768528,0.0000
2019-06-07,111.0900,115.1400,103.9600,114.0200,114.0200,35422177,0.0000
2019-05-31,110.5700,113.1400,108.7400,109.7500,109.7500,23519642,0.0000
2019-05-24,111.9700,113.9600,109.0600,109.8500,109.8500,22741266,0.0000
2019-05-17,107.6000,114.6600,106.5200,112.8000,112.8000,26077205,0.0000
2019-05-10,109.4400,111.1200,107.2476,110.4100,110.4100,23427614,0.0000
2019-05-03,110.7000,113.6900,108.9100,111.9600,111.9600,28856714,0.0000
2019-04-26,106.7900,110.9200,106.0200,110.5600,110.5600,43168437,0.0000
2019-04-18,108.5800,109.0000,105.0800,107.3600,107.3600,23821407,0.0000
2019-04-12,105.6600,108.5400,104.6700,108.4800,108.4800,37720036,0.0000
2019-04-05,104.9900,105.9700,102.6500,105.7300,105.7300,32347747,0.0000
2019-03-29,100.9400,104.7000,100.5100,103.8400,103.8400,25157999,0.0000
2019-03-22,101.2100,104.5600,99.3700,101.2700,101.2700,34293832,0.0000
2019-03-15,96.0100,101.2599,95.9539,100.7300,100.7300,36744450,0.0000
2019-03-08,98.0300,98.5000,94.5100,95.6900,95.6900,28152551,0.0000
2019-03-01,96.0700,99.4500,95.5300,98.8000,98.8000,30528805,0.0000
2019-02-22,94.4500,96.0000,93.9800,95.9800,95.9800,27554723,0.0000
2019-02-15,92.2500,96.0400,92.1500,94.9100,94.9100,35190266,0.0000
2019-02-08,89.8800,92.3500,89.7100,91.8700,91.8700,33541092,0.0000
2019-02-01,93.3000,93.4200,86.6200,90.0100,90.0100,59628424,0.0000
2019-01-25,90.3300,94.5800,89.0900,94.2800,94.2800,34900132,0.0000
2019-01-18,89.9600,92.3500,89.5500,91.1200,91.1200,47150624,0.0000
2019-01-11,86.4200,91.1442,86.0200,90.6500,90.6500,43856404,0.0000
2019-01-04,84.2400,86.9100,81.9100,86.2700,86.2700,36279453,0.0000
