timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,488.0100,492.0000,470.2700,470.3700,470.3700,4628957,0.0000
2021-02-12,503.1400,506.6276,482.8450,485.6200,485.6200,5648491,0.0000
2021-02-05,512.8200,514.9735,490.0200,498.9800,498.9800,5797934,0.0000
2021-01-29,554.3200,558.9100,496.0958,503.8400,503.8400,5604234,0.0000
2021-01-22,523.0300,546.7221,522.0600,537.7800,537.7800,3418986,0.0000
2021-01-15,501.0000,524.8800,489.3500,517.9300,517.9300,5295848,0.0000
2021-01-08,486.8500,500.7000,467.0000,498.7300,498.7300,5288961,0.0000
2020-12-31,488.7200,492.6900,470.7800,483.1100,483.1100,2801243,0.0000
2020-12-24,494.0000,497.2900,485.0600,488.9300,488.9300,2695158,0.0000
2020-12-18,484.1200,506.9899,483.5500,498.8900,498.8900,5872619,0.0000
2020-12-11,497.4906,500.0000,471.5800,479.7700,479.7700,5021867,0.0000
2020-12-04,520.0000,525.2825,490.0600,492.4500,492.4500,5329716,0.0000
2020-11-27,538.8600,538.8600,505.8000,514.0500,514.0500,4223939,0.0000
2020-11-20,557.4500,566.7944,509.3400,518.7400,518.7400,4827754,0.0000
2020-11-13,551.6100,573.6550,540.3100,566.4300,566.4300,3946474,0.0000
2020-11-06,545.0600,596.8000,539.1700,578.0300,578.0300,4214971,0.0000
2020-10-30,574.6600,590.9700,533.2300,543.5600,543.5600,3723138,0.0000
2020-10-23,600.0000,601.0900,566.0400,579.8100,579.8100,2944979,0.0000
2020-10-16,602.2543,616.3100,580.7399,599.7400,599.7400,5418531,0.0000
2020-10-09,598.9000,619.9700,579.0200,602.0700,602.0700,11071429,0.0000
2020-10-02,572.8300,589.7668,552.2700,564.8000,564.8000,5626184,0.0000
2020-09-25,551.1400,578.1600,542.1550,574.0600,574.0600,2900341,0.0000
2020-09-18,554.4100,586.4400,544.9600,555.2400,555.2400,4842849,0.0000
2020-09-11,577.7800,578.9900,540.0000,544.7500,544.7500,3002673,0.0000
2020-09-04,602.3300,621.6100,564.5000,580.3600,580.3600,4372043,0.0000
2020-08-28,612.3800,619.5200,590.7100,602.6100,602.6100,3334195,0.0000
