timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,6.0900,6.1100,5.9200,6.0100,6.0100,86734069,0.0000
2021-02-12,6.1400,6.1900,5.9900,6.0900,6.0900,138699735,0.0146
2021-02-05,6.3500,6.4000,5.9800,6.1050,6.0903,155799771,0.0000
2021-01-29,5.9700,8.1400,5.9600,6.2600,6.2449,343501278,0.0000
2021-01-22,5.8300,6.0400,5.8000,5.9700,5.9556,94441676,0.0000
2021-01-15,5.9300,6.0200,5.7500,5.8000,5.7860,158443330,0.0000
2021-01-08,6.3900,6.5300,5.9100,5.9100,5.8958,195637112,0.0000
2020-12-31,6.3000,6.4900,6.2650,6.3700,6.3546,60606339,0.0000
2020-12-24,6.2500,6.3300,6.1700,6.3050,6.2898,59360942,0.0000
2020-12-18,6.4500,6.4500,6.2700,6.3100,6.2948,99988330,0.0000
2020-12-11,6.3500,6.7250,6.3200,6.4200,6.4045,142294492,0.0000
2020-12-04,6.5300,6.6000,6.3300,6.3400,6.3247,108217735,0.0000
2020-11-27,6.4400,6.6600,6.3400,6.5500,6.5342,77658339,0.0000
2020-11-20,6.3400,6.4800,6.2600,6.4200,6.4045,93572531,0.0000
2020-11-13,6.2500,6.3200,5.9600,6.2700,6.2549,125154334,0.0000
2020-11-06,5.7900,6.1100,5.7350,6.0300,6.0155,120241214,0.0146
2020-10-30,5.9300,5.9800,5.6650,5.7300,5.7025,117405151,0.0000
2020-10-23,5.8400,6.0400,5.7200,5.9800,5.9513,126791687,0.0000
2020-10-16,5.8700,5.9800,5.7400,5.8400,5.8120,133785601,0.0000
2020-10-09,5.5900,6.0300,5.5200,5.8400,5.8120,136232947,0.0000
2020-10-02,5.2000,5.6600,5.1900,5.5600,5.5333,143282296,0.0000
2020-09-25,5.0700,5.2000,4.9500,5.1200,5.0954,138229905,0.0000
2020-09-18,5.5100,5.6700,5.1300,5.1600,5.1352,201140223,0.0000
2020-09-11,5.7000,5.7700,5.4500,5.4800,5.4537,119529768,0.0000
2020-09-04,5.9100,5.9900,5.6600,5.7200,5.6925,134910451,0.0000
2020-08-28,5.8200,5.9800,5.7750,5.9600,5.9314,93330357,0.0000
2020-08-21,5.9961,6.0156,5.7500,5.8200,5.7920,91626534,0.0000
2020-08-14,5.9400,6.2000,5.9000,5.9800,5.9513,98172093,0.0000
2020-08-07,5.8700,5.9900,5.8050,5.9800,5.9513,96683539,0.0133
2020-07-31,5.9000,6.2000,5.7500,5.8800,5.8386,154523177,0.0000
2020-07-24,5.8900,6.0300,5.7600,5.9050,5.8635,103250989,0.0000
2020-07-17,5.6900,6.0200,5.5100,5.8900,5.8486,135211232,0.0000
2020-07-10,5.9000,5.9600,5.5900,5.7000,5.6599,103144508,0.0000
2020-07-02,5.5700,5.9800,5.5450,5.8400,5.7989,110613909,0.0000
2020-06-26,5.9500,6.0700,5.5200,5.5400,5.5010,162856418,0.0000
2020-06-19,5.8100,6.1900,5.7900,5.9600,5.9181,136684734,0.0000
2020-06-12,6.5700,6.5800,5.8000,5.9400,5.8982,149174089,0.0000
2020-06-05,5.8200,6.7300,5.8100,6.5100,6.4642,204721683,0.0000
2020-05-29,5.4400,5.8600,5.3200,5.8200,5.7791,187892055,0.0000
2020-05-22,5.4900,5.6400,5.0600,5.3100,5.2726,220674344,0.0000
2020-05-15,5.7000,5.7100,5.0100,5.3400,5.3024,183102240,0.0000
2020-05-08,5.7500,5.8300,5.5000,5.7500,5.7095,141578464,0.0133
2020-05-01,5.5100,6.0300,5.5000,5.8000,5.7453,136287532,0.0000
2020-04-24,5.2000,5.5700,4.9700,5.5100,5.4581,139533019,0.0000
2020-04-17,5.2200,5.4400,4.9500,5.2900,5.2401,104701822,0.0000
2020-04-09,4.7200,5.3800,4.6800,5.2500,5.2005,91657962,0.0000
2020-04-03,4.9600,5.1200,4.4100,4.4800,4.4378,134612000,0.0000
2020-03-27,4.3800,5.3500,4.1100,4.9300,4.8835,187754147,0.0000
2020-03-20,5.2400,5.7300,4.4100,4.4400,4.3982,249301352,0.0000
2020-03-13,6.1600,6.3400,5.2800,5.9000,5.8444,200008240,0.0000
2020-03-06,6.2800,6.7000,6.2600,6.4400,6.3793,170711484,0.0000
2020-02-28,7.1600,7.2200,6.2000,6.3400,6.2803,218103164,0.0000
2020-02-21,7.1900,7.4000,7.1800,7.2400,7.1718,68493644,0.0000
2020-02-14,7.1300,7.2500,7.1200,7.2100,7.1421,68312523,0.0133
2020-02-07,7.1000,7.3000,7.0800,7.1100,7.0299,91821281,0.0000
2020-01-31,7.0600,7.2200,7.0200,7.0700,6.9904,94584922,0.0000
