timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,299.6200,300.9100,267.3500,268.0700,268.0700,4303080,0.0000
2021-02-12,275.3000,293.3100,274.1900,292.0900,292.0900,2934660,0.0000
2021-02-05,259.9602,276.9700,257.4100,272.9200,272.9200,3222848,0.0000
2021-01-29,273.2500,274.4900,252.1000,255.4500,255.4500,3478220,0.0000
2021-01-22,261.6600,280.1100,261.1000,270.1400,270.1400,2968247,0.0000
2021-01-15,258.1600,264.6200,253.4600,258.9200,258.9200,2979729,0.0000
2021-01-08,260.0000,264.3300,249.2600,262.8000,262.8000,3999720,0.0000
2020-12-31,261.1347,261.1347,252.7800,259.2400,259.2400,1705341,0.0000
2020-12-24,251.8300,260.2600,247.0000,256.2800,256.2800,2626483,0.0000
2020-12-18,236.9100,255.7200,235.8800,255.0000,255.0000,4662551,0.0000
2020-12-11,238.3800,241.3000,229.2100,236.3900,236.3900,3593254,0.0000
2020-12-04,225.7200,240.1200,222.0000,236.8800,236.8800,5697993,0.0000
2020-11-27,218.8800,225.7900,211.2000,225.4200,225.4200,2672678,0.0000
2020-11-20,224.5800,226.1700,216.1600,218.5100,218.5100,4295514,0.0000
2020-11-13,243.5100,246.6900,218.5800,226.2300,226.2300,4045124,0.0000
2020-11-06,215.5200,243.6600,212.3300,241.7800,241.7800,3495113,0.0000
2020-10-30,223.9000,226.2500,212.2100,213.8600,213.8600,3085788,0.0000
2020-10-23,226.2900,230.1200,222.2150,226.7400,226.7400,2930273,0.0000
2020-10-16,225.6500,232.7400,222.2400,226.4800,226.4800,3159284,0.0000
2020-10-09,213.1200,224.5000,213.0000,222.8200,222.8200,2667637,0.0000
2020-10-02,210.5100,219.6900,209.2600,212.0500,212.0500,3498491,0.0000
2020-09-25,195.9000,209.2700,193.5500,208.5000,208.5000,3569770,0.0000
2020-09-18,202.2400,213.1952,194.2000,197.9300,197.9300,4249098,0.0000
2020-09-11,202.9500,209.1100,198.4700,200.2400,200.2400,3708955,0.0000
2020-09-04,219.1700,230.1200,202.8500,208.9800,208.9800,4641012,0.0000
2020-08-28,214.9000,221.3200,210.5600,219.4900,219.4900,3394323,0.0000
2020-08-21,197.9400,216.1920,197.2500,213.1000,213.1000,6846132,0.0000
2020-08-14,197.9100,198.5000,190.5000,196.1600,196.1600,3788137,0.0000
2020-08-07,200.7400,204.1100,196.1400,198.7900,198.7900,2523284,0.0000
2020-07-31,194.6100,200.6000,193.9000,199.2200,199.2200,2942696,0.0000
2020-07-24,196.0200,204.2200,190.9200,193.3700,193.3700,3609464,0.0000
2020-07-17,200.0000,201.7900,188.8200,196.2800,196.2800,4200000,0.0000
2020-07-10,199.6300,204.9000,196.8000,198.0100,198.0100,3734600,0.0000
2020-07-02,190.6300,199.5800,186.3200,197.5800,197.5800,3453300,0.0000
2020-06-26,185.6900,197.6559,184.5200,190.4200,190.4200,5371247,0.0000
2020-06-19,177.2400,193.3600,176.1500,184.4500,184.4500,4967146,0.0000
2020-06-12,180.7100,192.3800,176.5200,179.6000,179.6000,5410068,0.0000
2020-06-05,180.9100,184.5400,179.0100,182.9700,182.9700,5034858,0.0000
2020-05-29,172.0800,181.9700,163.0000,180.9100,180.9100,5081711,0.0000
2020-05-22,159.9500,171.4700,158.6000,171.1100,171.1100,5710708,0.0000
2020-05-15,158.6285,163.3028,151.5200,158.7300,158.7300,4704375,0.0000
2020-05-08,148.9000,161.9900,147.9800,160.1700,160.1700,3818245,0.0000
2020-05-01,155.6048,158.9600,148.2000,149.6400,149.6400,5688888,0.0000
2020-04-24,151.9100,154.6700,142.8600,153.0300,153.0300,4873056,0.0000
2020-04-17,133.8500,156.0900,133.2680,154.9800,154.9800,5641820,0.0000
2020-04-09,130.3600,141.0300,129.1100,136.5800,136.5800,4280165,0.0000
2020-04-03,125.7000,131.0000,122.5134,124.5500,124.5500,8055242,0.0000
2020-03-27,110.3500,128.3500,104.9000,124.3800,124.3800,7421086,0.0000
2020-03-20,112.5900,125.3800,108.5200,110.0000,110.0000,8892089,0.0000
2020-03-13,128.1100,135.3300,116.4650,129.8800,129.8800,10009748,0.0000
2020-03-06,137.9600,146.9600,133.7100,137.7200,137.7200,8274907,0.0000
2020-02-28,144.9700,148.0300,131.5100,137.9300,137.9300,11681354,0.0000
2020-02-21,164.0100,166.8700,148.1600,149.3300,149.3300,10116909,0.0000
2020-02-14,153.6400,164.1000,153.5600,163.3500,163.3500,3770410,0.0000
2020-02-07,148.7700,158.0000,148.5000,154.2800,154.2800,4209724,0.0000
2020-01-31,150.7400,153.3700,147.1400,147.5100,147.5100,4804232,0.0000
2020-01-24,151.1000,156.9700,151.0000,154.0500,154.0500,3343897,0.0000
2020-01-17,148.9600,151.9900,147.2600,151.8600,151.8600,4610861,0.0000
2020-01-10,140.5200,150.5300,139.7000,148.4600,148.4600,4819175,0.0000
2020-01-03,140.1200,142.9300,137.8150,141.7600,141.7600,3276059,0.0000
2019-12-27,140.0000,141.2800,137.5000,140.6200,140.6200,2563847,0.0000
2019-12-20,137.6300,141.0100,134.6400,139.8800,139.8800,6727747,0.0000
2019-12-13,134.2400,137.5500,130.7200,136.7000,136.7000,6651982,0.0000
2019-12-06,141.7900,144.2400,131.5100,134.2100,134.2100,6962736,0.0000
2019-11-29,135.9500,143.0000,135.8100,141.0400,141.0400,4849655,0.0000
2019-11-22,139.2500,142.1000,134.7900,135.3800,135.3800,4282147,0.0000
2019-11-15,135.7000,140.2900,135.3100,139.7100,139.7100,3378226,0.0000
2019-11-08,137.3300,138.0800,133.8400,136.2100,136.2100,4055024,0.0000
2019-11-01,138.4800,138.6850,135.1300,136.1000,136.1000,4234306,0.0000
2019-10-25,135.4600,138.4700,131.6000,137.1400,137.1400,4190549,0.0000
2019-10-18,138.4100,141.9000,133.4900,134.9500,134.9500,3831033,0.0000
2019-10-11,139.9600,141.0600,133.7900,138.6100,138.6100,4164726,0.0000
2019-10-04,136.5400,139.2000,131.5753,138.7800,138.7800,4415073,0.0000
2019-09-27,134.9200,141.4500,133.1175,136.2100,136.2100,5203224,0.0000
2019-09-20,133.6200,138.7300,132.5100,135.7200,135.7200,5174902,0.0000
2019-09-13,146.2000,146.5000,133.7500,134.6400,134.6400,7284129,0.0000
2019-09-06,140.0800,146.6600,138.4700,145.5100,145.5100,3888194,0.0000
2019-08-30,136.6300,142.9400,134.7900,141.8100,141.8100,5552636,0.0000
2019-08-23,130.5800,142.0000,128.6200,135.0500,135.0500,7229651,0.0000
2019-08-16,129.8800,132.8600,125.9900,128.9800,128.9800,4895659,0.0000
2019-08-09,126.2500,132.3600,123.8500,131.0000,131.0000,4700671,0.0000
2019-08-02,137.3900,137.3900,128.0600,129.3500,129.3500,3969082,0.0000
2019-07-26,135.5800,138.7200,134.1900,137.0900,137.0900,3518559,0.0000
2019-07-19,137.6400,137.6900,134.6600,134.9900,134.9900,3669580,0.0000
2019-07-12,134.6600,137.8800,134.4450,137.4100,137.4100,5591049,0.0000
2019-07-05,131.4000,135.5400,130.1400,135.4000,135.4000,4598920,0.0000
2019-06-28,129.2100,129.5600,123.5800,128.6900,128.6900,9650373,0.0000
2019-06-21,124.8200,130.6400,124.1800,128.8400,128.8400,6498799,0.0000
2019-06-14,124.8600,127.9100,123.4000,124.8000,124.8000,4534885,0.0000
2019-06-07,116.5500,124.1300,112.7500,123.9000,123.9000,6710589,0.0000
2019-05-31,117.1000,119.3800,115.5526,116.4400,116.4400,4922076,0.0000
2019-05-24,121.5100,121.5100,113.9400,116.7100,116.7100,10680134,0.0000
2019-05-17,117.0600,124.1200,115.6600,121.3900,121.3900,5725113,0.0000
2019-05-10,119.1800,121.8300,116.6100,119.8200,119.8200,3710568,0.0000
2019-05-03,120.1800,122.3600,119.1900,121.6500,121.6500,3581031,0.0000
