timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,191.2100,195.8200,185.5300,192.1700,192.1700,9012126,0.0000
2021-02-12,180.3200,190.3400,178.5300,189.5000,189.5000,10650768,0.5000
2021-02-05,174.3000,189.7000,172.8900,178.9500,178.4791,19916595,0.0000
2021-01-29,166.6400,188.3400,154.4500,169.2500,168.8046,22170153,0.0000
2021-01-22,154.5257,168.9500,154.0100,161.2700,160.8456,7110696,0.0000
2021-01-15,160.1200,163.3500,150.1300,152.0000,151.6000,8650008,0.0000
2021-01-08,153.3300,165.9900,148.0200,163.4800,163.0498,9637245,0.0000
2020-12-31,152.7600,154.8350,149.6200,152.8800,152.4777,4199740,0.0000
2020-12-24,145.5500,152.9400,145.1700,151.2100,150.8121,4720557,0.0000
2020-12-18,140.0000,150.2900,137.9400,148.1900,147.8000,11843317,0.0000
2020-12-11,151.4066,156.0000,138.6100,139.2400,138.8736,11661204,0.0000
2020-12-04,136.3800,150.2800,136.3800,150.1700,149.7748,10007021,0.0000
2020-11-27,141.0500,141.7750,134.2800,136.1600,135.8017,9551702,0.0000
2020-11-20,141.0000,143.7350,136.0000,140.3900,140.0206,8971853,0.5000
2020-11-13,151.3500,151.8900,136.8600,141.5000,140.6165,10260528,0.0000
2020-11-06,143.3800,149.3250,134.8400,146.7350,145.8188,18506440,0.0000
2020-10-30,148.3900,148.7600,139.0900,141.2900,140.4078,7376576,0.0000
2020-10-23,154.5100,156.9800,147.3269,149.7600,148.8249,4725083,0.0000
2020-10-16,156.4800,158.6100,149.6000,153.1500,152.1938,7529648,0.0000
2020-10-09,148.1000,154.8400,146.5400,154.2800,153.3167,8330893,0.0000
2020-10-02,140.6300,152.4800,139.0200,146.8300,145.9132,8923741,0.0000
2020-09-25,133.5800,139.7000,131.4410,138.0000,137.1384,9170246,0.0000
2020-09-18,137.4400,142.8300,133.6700,136.0100,135.1608,8645082,0.0000
2020-09-11,133.1000,140.6452,130.7200,136.1500,135.2999,9060059,0.0000
2020-09-04,143.4500,154.2400,133.8600,139.0100,138.1421,12372445,0.0000
2020-08-28,143.6700,144.2500,138.7010,143.6200,142.7233,6866437,0.0000
2020-08-21,147.3700,147.6785,139.3600,142.0500,141.1631,7142340,0.0000
2020-08-14,143.8400,149.3200,140.7700,146.1200,145.2077,7209292,0.5000
2020-08-07,146.9300,149.4900,142.4000,144.3700,142.9706,7926957,0.0000
2020-07-31,133.6100,145.9000,132.3200,145.5800,144.1689,12083114,0.0000
2020-07-24,134.7200,139.8800,128.5563,131.6100,130.3343,11266065,0.0000
2020-07-17,133.3200,134.8100,126.5300,133.9500,132.6516,8030739,0.0000
2020-07-10,130.8900,135.2300,129.7200,131.2200,129.9481,7567705,0.0000
2020-07-02,126.1357,130.0500,123.4100,128.4200,127.1752,6102347,0.0000
2020-06-26,127.1600,129.7300,124.8000,125.8500,124.6301,9024593,0.0000
2020-06-19,123.3800,133.3700,122.8300,127.3500,126.1156,11779305,0.0000
2020-06-12,137.0500,138.2200,123.0600,126.9100,125.6798,12621393,0.0000
2020-06-05,118.1500,137.8800,116.8100,136.1600,134.8402,11146574,0.0000
2020-05-29,120.0000,121.3800,114.5900,118.5400,117.3910,8374624,0.0000
2020-05-22,109.3400,118.1800,108.9800,117.0200,115.8857,8375971,0.4400
2020-05-15,109.9400,112.7400,102.3200,106.2200,104.7975,10273763,0.0000
2020-05-08,98.2000,111.2900,96.7300,111.2200,109.7306,15417318,0.0000
2020-05-01,97.8000,106.8500,97.5600,98.8300,97.5065,11280816,0.0000
2020-04-24,93.8400,96.7800,88.0800,96.5100,95.2176,8388409,0.0000
2020-04-17,90.0000,97.6300,88.6600,95.4000,94.1224,10316352,0.0000
2020-04-09,84.0400,95.3000,83.6800,89.9500,88.7454,10102905,0.0000
2020-04-03,88.5200,94.2800,79.5100,80.3000,79.2247,12609505,0.0000
2020-03-27,74.1700,93.0700,71.0000,87.0900,85.9237,18974732,0.0000
