timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,180.0000,181.8000,174.2000,178.3500,178.3500,16622061,0.0000
2021-02-12,171.3400,179.9000,170.8400,179.6400,179.6400,18043414,0.0000
2021-02-05,167.3600,175.7000,167.0200,169.9300,169.9300,23157743,0.0000
2021-01-29,173.3650,174.5700,162.0356,165.6900,165.6900,33521390,1.0200
2021-01-22,171.1850,175.4673,171.1850,172.8100,171.7527,17929334,0.0000
2021-01-15,170.2400,173.6600,167.5700,169.1900,168.1548,18061803,0.0000
2021-01-08,164.6000,172.7500,160.7550,171.1600,170.1128,24878783,0.0000
2020-12-31,163.7650,164.3900,160.5700,164.1300,163.1258,9671428,0.0000
2020-12-24,161.5500,163.4600,159.5600,161.6400,160.6510,8779786,0.0000
2020-12-18,161.4500,164.6100,159.9900,164.0700,163.0662,27200505,0.0000
2020-12-11,166.3700,167.2400,159.6300,160.6100,159.6273,23242538,0.0000
2020-12-04,159.2300,166.6000,157.7200,166.5200,165.5012,22051926,0.0000
2020-11-27,156.8983,160.2900,155.1400,158.9900,158.0172,14193015,0.0000
2020-11-20,157.2660,159.3850,152.7100,156.8200,155.8605,15460175,0.0000
2020-11-13,162.0000,164.6300,151.0200,156.6500,155.6916,19550649,0.0000
2020-11-06,146.4600,158.2100,144.2200,157.7400,156.7749,21216816,0.0000
2020-10-30,148.2000,148.5000,141.3300,144.5900,143.7053,26834448,1.0200
2020-10-23,153.2800,154.9200,144.6602,149.9600,148.0098,21522123,0.0000
2020-10-16,152.5800,155.8800,150.8600,153.1200,151.1287,19476286,0.0000
2020-10-09,142.2900,151.5200,141.5700,150.9100,148.9474,15850876,0.0000
2020-10-02,140.2200,147.2200,139.7200,141.0900,139.2551,20161077,0.0000
2020-09-25,135.8700,139.1000,134.1200,138.3200,136.5212,20962801,0.0000
2020-09-18,138.3188,142.1300,135.9166,138.6600,136.8567,22103150,0.0000
2020-09-11,136.2000,141.2500,135.2500,136.3700,134.5965,18822591,0.0000
