timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-02-19,145.7500,145.7500,135.3500,138.7100,138.7100,6230163,0.0000
2021-02-12,136.8800,146.1700,136.7500,145.7500,145.7500,9531467,0.0000
2021-02-05,132.4400,138.5100,130.3100,136.4800,136.4800,13393092,0.0000
2021-01-29,145.2300,148.1000,129.5700,130.5700,130.5700,14974026,0.0000
2021-01-22,138.3600,148.3200,135.8800,142.9400,142.9400,14413981,0.0000
2021-01-15,147.7800,154.9300,136.1520,136.6000,136.6000,19874291,0.0000
2021-01-08,142.2293,151.4200,138.8300,147.9900,147.9900,13830767,0.0000
2020-12-31,144.0800,144.3350,138.5601,141.7700,141.7700,7498660,0.0000
2020-12-24,146.8000,148.0600,141.1304,141.9900,141.9900,6633492,0.0000
2020-12-18,144.6100,154.1200,144.3150,149.1900,149.1900,13275783,0.0000
2020-12-11,149.4000,149.4000,140.3100,143.8300,143.8300,9133769,0.0000
2020-12-04,137.4889,151.5400,136.6500,147.9100,147.9100,14108704,0.0000
2020-11-27,133.4393,137.8000,130.3200,137.4900,137.4900,6447307,0.0000
2020-11-20,127.7300,134.0000,127.0700,132.3800,132.3800,15574333,0.0000
2020-11-13,132.7200,136.5000,121.2350,127.6500,127.6500,18234178,0.3800
2020-11-06,119.9800,134.9500,116.7600,134.1200,133.7301,29098680,0.0000
2020-10-30,115.4300,130.4000,112.3200,118.6900,118.3450,59712237,0.0000
2020-10-23,118.0000,118.4700,111.2300,116.8200,116.4804,15689902,0.0000
2020-10-16,117.2500,120.0000,115.9100,118.0200,117.6769,15811231,0.0000
2020-10-09,103.3350,123.7800,103.1700,120.9400,120.5885,28917321,0.0000
2020-10-02,101.6400,107.6650,101.4000,102.5900,102.2918,7826899,0.0000
2020-09-25,99.7100,100.6400,96.7100,100.3500,100.0583,7405011,0.0000
2020-09-18,99.9000,104.6600,99.1500,100.7200,100.4272,8796964,0.0000
2020-09-11,98.9602,101.5400,97.6400,98.6500,98.3632,7469272,0.0000
2020-09-04,104.7900,109.3000,99.7500,101.6400,101.3446,10830632,0.0000
2020-08-28,103.0000,105.3700,101.7600,104.9100,104.6051,8585343,0.0000
2020-08-21,106.5000,106.5300,100.5000,102.0000,101.7035,8955693,0.0000
2020-08-14,107.4700,108.0000,104.1200,105.3100,105.0039,9305767,0.3800
2020-08-07,107.4900,109.1400,104.4400,107.4600,106.7650,13953049,0.0000
2020-07-31,103.2400,112.1700,103.2400,107.3500,106.6558,17359421,0.0000
2020-07-24,100.2900,105.4000,100.1300,102.6600,101.9961,10463656,0.0000
2020-07-17,100.1200,101.4700,96.0500,100.4900,99.8401,12614938,0.0000
2020-07-10,98.2100,102.2900,97.3100,99.1400,98.4988,17004115,0.0000
2020-07-02,91.3000,99.4000,90.7100,95.2900,94.6737,18760834,0.0000
2020-06-26,94.5300,96.6900,90.4100,91.0200,90.4314,12497649,0.0000
2020-06-19,88.8700,95.9100,88.0800,95.4800,94.8625,16018944,0.0000
2020-06-12,96.4200,97.1300,88.9300,90.7000,90.1134,11668649,0.0000
2020-06-05,91.6900,98.1700,89.8500,96.2000,95.5779,12178672,0.0000
2020-05-29,88.0000,92.2800,87.7900,91.9500,91.3553,10333892,0.0000
2020-05-22,84.6500,89.8000,84.5600,86.5900,86.0300,13215977,0.0000
2020-05-15,85.5800,86.8200,80.4500,83.2300,82.6917,12954533,0.3800
2020-05-08,83.3100,87.3800,81.6600,86.8600,85.9095,12410271,0.0000
2020-05-01,90.3000,92.0000,82.8700,82.9900,82.0819,16608371,0.0000
2020-04-24,88.0000,91.0500,83.6200,89.7400,88.7580,21457034,0.0000
2020-04-17,82.4100,90.9700,81.8300,89.0000,88.0261,12206713,0.0000
2020-04-09,81.1400,86.7700,81.1400,83.1100,82.2006,12238974,0.0000
2020-04-03,75.9300,81.0100,75.0000,79.0800,78.2147,14079401,0.0000
2020-03-27,72.4100,80.4100,71.1100,75.2200,74.3969,19917658,0.0000
2020-03-20,68.9800,80.1600,68.0000,71.8600,71.0737,23710580,0.0000
2020-03-13,73.2700,79.2200,67.6800,76.5400,75.7025,26294229,0.0000
2020-03-06,83.4600,86.1000,78.2800,79.8600,78.9861,19685730,0.0000
2020-02-28,84.6700,86.3800,76.5200,83.4900,82.5764,21721961,0.0000
2020-02-21,88.6100,91.2000,87.2000,87.7200,86.7601,8605793,0.0000
2020-02-14,85.0000,92.2400,84.6500,90.1700,89.1833,17730235,0.3700
2020-02-07,84.7000,89.0400,83.6700,85.6200,84.3221,17524995,0.0000
2020-01-31,98.4400,99.3500,84.2200,84.4800,83.1994,38496502,0.0000
2020-01-24,102.6000,103.7400,99.5000,100.8000,99.2720,12347392,0.0000
2020-01-17,100.0000,103.2900,97.9000,102.8900,101.3303,15903253,0.0000
2020-01-10,97.8400,101.8700,96.9000,99.4700,97.9621,15682029,0.0000
2020-01-03,98.1000,101.6900,96.6900,99.3100,97.8046,10095899,0.0000
2019-12-27,98.4300,99.5600,97.6600,98.4200,96.9280,7413095,0.0000
2019-12-20,97.3300,99.2600,95.4600,97.7400,96.2584,17710655,0.0000
2019-12-13,91.9100,98.4400,90.6900,96.2300,94.7712,16200194,0.0000
2019-12-06,93.0000,93.2800,87.5600,91.8600,90.4675,16017044,0.0000
2019-11-29,91.0100,93.8700,90.1300,92.7800,91.3735,10468950,0.0000
2019-11-22,93.2900,93.8700,90.0600,90.6100,89.2364,13673372,0.0000
2019-11-15,94.9600,96.4800,92.4000,93.6600,92.2402,9428698,0.0000
2019-11-08,95.6800,97.8400,93.3000,95.5000,94.0523,17270201,0.3700
2019-11-01,95.8400,96.8500,89.8300,92.7100,90.9522,16728443,0.0000
2019-10-25,95.1600,96.8300,91.8000,94.9000,93.1007,23071770,0.0000
2019-10-18,98.3100,98.8600,93.0900,94.3400,92.5513,14357354,0.0000
2019-10-11,94.0100,98.1500,89.2200,96.2200,94.3957,17636659,0.0000
2019-10-04,96.2700,96.5600,90.4700,94.2400,92.4532,23422302,0.0000
2019-09-27,96.1400,99.4800,94.3900,95.9500,94.1308,16090684,0.0000
2019-09-20,103.9000,106.2500,95.3900,96.5500,94.7194,18507133,0.0000
2019-09-13,106.5000,107.7900,104.0300,105.2400,103.2447,12930877,0.0000
2019-09-06,102.6600,107.5000,99.8100,105.9400,103.9314,11317385,0.0000
2019-08-30,100.8700,105.1900,98.0000,104.0600,102.0870,13507342,0.0000
2019-08-23,108.0700,109.3700,100.3000,100.9700,99.0556,13355107,0.0000
2019-08-16,103.2200,107.7800,101.6500,105.4600,103.4605,13768099,0.0000
2019-08-09,106.9800,109.9100,104.0000,104.2300,102.2538,18612826,0.3700
2019-08-02,120.7800,122.1600,109.2100,110.1800,107.7138,20089400,0.0000
2019-07-26,122.7400,133.0000,120.4700,120.7700,118.0668,24763941,0.0000
2019-07-19,120.6900,124.4800,119.2600,122.7000,119.9536,10537101,0.0000
2019-07-12,114.9500,120.5900,114.1700,120.3200,117.6268,9639401,0.0000
2019-07-05,122.3000,123.3700,114.1400,116.1100,113.5111,11776299,0.0000
2019-06-28,112.8200,118.4000,109.6800,117.9200,115.2806,16652954,0.0000
2019-06-21,105.4100,114.7600,104.3200,112.1400,109.6299,17160953,0.0000
2019-06-14,109.1000,114.0100,103.6300,105.4200,103.0603,15140122,0.0000
2019-06-07,103.5500,109.4000,101.5100,107.4900,105.0840,15675187,0.0000
2019-05-31,101.9500,106.1200,99.5600,102.3100,100.0200,16692851,0.0000
2019-05-24,100.9900,106.0700,97.6800,101.2100,98.9446,28199920,0.0000
2019-05-17,113.8900,115.6500,103.4600,104.7600,102.4151,35123875,0.3700
2019-05-10,115.0000,119.4000,113.6900,116.9200,113.9346,19265737,0.0000
2019-05-03,118.5500,121.7500,115.8400,119.0200,115.9810,21598096,0.0000
2019-04-26,135.0000,141.6000,110.3100,118.9300,115.8933,52335550,0.0000
2019-04-18,134.4100,137.2300,132.9300,134.9500,131.5042,12393594,0.0000
