Symbol,Description,LK,FB
AAPL,Apple Inc. Common Stock,Apple,
ADBE,Adobe Inc. Common Stock,Adobe,Adobe
ADI,"Analog Devices, Inc. Common Stock",Analog Devices,AnalogDevicesInc
ADP,"Automatic Data Processing, Inc. Common Stock",ADP,AutomaticDataProcessing
ADSK,"Autodesk, Inc. Common Stock",Autodesk Media & Entertainment,autodesk
AEP,"American Electric Power Company, Inc. Common Stock",American Electric Power,americanelectricpower
ALGN,"Align Technology, Inc. Common Stock",Align Technology,invisalign
ALXN,"Alexion Pharmaceuticals, Inc. Common Stock","""Alexion Pharmaceuticals, Inc.""",
AMAT,"Applied Materials, Inc. Common Stock",Applied Materials,
AMD,"Advanced Micro Devices, Inc. Common Stock",AMD,AMD
AMGN,Amgen Inc. Common Stock,Amgen,
AMZN,"Amazon.com, Inc. Common Stock",Amazon,Amazon
ANSS,"ANSYS, Inc. Common Stock","""ANSYS, Inc.""",ANSYSInc
ASML,ASML Holding N.V. New York Registry Shares,ASML,asml
ATVI,"Activision Blizzard, Inc. Common Stock",Activision,Activision
AVGO,Broadcom Inc. Common Stock,Broadcom Limited,Broadcom
BIDU,"Baidu, Inc. ADS","""Baidu, Inc.""",
BIIB,Biogen Inc. Common Stock,Biogen,
BKNG,Booking Holdings Inc. Common Stock,,bookingcom
CDNS,"Cadence Design Systems, Inc. Common Stock",Cadence Design Systems,
CDW,CDW Corporation Common Stock,CDW,CDWCorporation
CERN,Cerner Corporation Common Stock,Cerner Corporation,Cerner
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,"""Check Point Software Technologies, Ltd.""",checkpointsoftware
CHTR,"Charter Communications, Inc. Class A Common Stock New",Charter Communications,
CMCSA,Comcast Corporation Class A Common Stock,Comcast,
COST,Costco Wholesale Corporation Common Stock,Costco Wholesale,Costco
CPRT,"Copart, Inc. (DE) Common Stock",Copart,Copart
CSCO,"Cisco Systems, Inc. Common Stock (DE)",Cisco,Cisco
CSX,CSX Corporation Common Stock,CSX,OfficialCSX
CTAS,Cintas Corporation Common Stock,Cintas,Cintas
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,Cognizant,Cognizant
DLTR,Dollar Tree Inc. Common Stock,Dollar Tree Stores,dollartree
DOCU,"DocuSign, Inc. Common Stock",DocuSign,DocuSign
DXCM,"DexCom, Inc. Common Stock",Dexcom,dexcom
EA,Electronic Arts Inc. Common Stock,Electronic Arts (EA),EA
EBAY,eBay Inc. Common Stock,eBay,eBayGlobal
EXC,Exelon Corporation Common Stock,Exelon,
FAST,Fastenal Company Common Stock,Fastenal,fastenalcompany
FB,"Facebook, Inc. Class A Common Stock",Facebook,facebook
FISV,"Fiserv, Inc. Common Stock",Fiserv,Fiserv
FOX,Fox Corporation Class B Common Stock,21st Century Fox,FOXTV
FOXA,Fox Corporation Class A Common Stock,21st Century Fox,FOXTV
GILD,"Gilead Sciences, Inc. Common Stock",Gilead Sciences,GileadSciences
